,Dedupe,Splink,Zingg,Magellan,pyJedAI,LinkTransformer,RecordLinkage
D2,0.381974,0.578171,0.467532,0.646914,0.887701,0.719101,0.776903
D3,0.467416,0.360071,0.286689,0.649237,0.699774,0.605317,0.658174
D4,0.974619,0.978482,0.985006,0.998857,0.990847,0.993151,0.998857
D5,0.908123,0.912088,0.862944,0.932432,0.892761,0.872973,0.934927
D6,0.342427,0.596364,0.490566,0.601227,0.783099,0.482192,0.609319
D7,0.459135,0.606205,0.451935,0.654462,0.669202,0.47362,0.666667
D8,0.026365,0.485106,0.459259,0.694268,0.646067,0.493827,0.733564
D9,0.939904,0.918072,0.351351,0.946636,0.94878,0.933489,0.953069
