,Dedupe,Splink,Zingg,Magellan,pyJedAI,LinkTransformer,RecordLinkage
D2,0.923018,0.962038,0.945103,0.960975,0.98921,0.965784,0.977327
D3,0.952854,0.927718,0.958974,0.967213,0.97424,0.961162,0.967067
D4,0.986734,0.989178,0.992669,0.999451,0.995609,0.996522,0.999451
D5,0.995863,0.996258,0.993547,0.997054,0.995319,0.994463,0.997129
D6,0.967751,0.994685,0.981347,0.993782,0.996329,0.981367,0.994782
D7,0.902379,0.967462,0.905741,0.970024,0.965114,0.907244,0.971652
D8,0.510253,0.992613,0.991226,0.994134,0.992318,0.98991,0.99531
D9,0.992902,0.99032,0.951512,0.993185,0.994188,0.991716,0.994354
