dataset,n_records,n_test_pairs,precision,recall,f1,time_workflow,peak_mem_mb,status
50K,50000,25356,1.0,0.7465,0.8548,2693.72,497.9,OK
100K,100000,52076,0.9996,0.7369,0.8484,6708.93,836.2,OK
