config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.06,0.832313,0.909091,0.837321,0.871731,13.92,610.2
2,OK,0.777,279525.0,0.03,0.847029,0.919668,0.794258,0.852375,13.89,619.6
3,OK,0.9062,2256311.0,0.05,0.871734,0.901639,0.921053,0.911243,16.81,716.0
4,OK,0.9498,149237.0,0.01,0.821293,0.926431,0.813397,0.866242,13.95,611.2
5,OK,0.8181,114708.0,0.01,0.838868,0.88946,0.827751,0.857497,13.92,621.2
6,OK,0.7612,1024968.0,0.05,0.854658,0.91129,0.811005,0.858228,15.22,654.3
7,OK,0.7074,249847.0,0.02,0.833958,0.891247,0.803828,0.845283,13.92,612.5
8,OK,0.882,1229937.0,0.02,0.854191,0.880631,0.935407,0.907193,15.14,670.0
9,OK,0.7617,1508451.0,0.04,0.854658,0.91129,0.811005,0.858228,15.34,674.0
10,OK,0.9266,103038.0,0.01,0.854118,0.899522,0.899522,0.899522,13.85,609.4
11,OK,0.9256,2490455.0,0.03,0.871122,0.919512,0.901914,0.910628,16.86,712.9
12,OK,0.7953,204625.0,0.01,0.846868,0.864055,0.897129,0.880282,13.82,617.0
13,OK,0.968,471182.0,0.01,0.871981,0.92665,0.906699,0.916566,14.31,624.9
14,OK,0.726,156110.0,0.02,0.834158,0.920981,0.808612,0.861146,13.82,607.6
15,OK,0.9373,1612323.0,0.05,0.863362,0.924242,0.875598,0.899263,16.28,691.2
16,OK,0.926,2880471.0,0.02,0.853801,0.893365,0.901914,0.897619,17.53,745.3
17,OK,0.8501,8835508.0,0.03,0.844765,0.88,0.842105,0.860636,24.78,1030.3
18,OK,0.806,1270811.0,0.01,0.847497,0.865116,0.889952,0.877358,15.51,660.8
19,OK,0.9322,1725994.0,0.04,0.873646,0.925187,0.88756,0.905983,16.24,697.5
20,OK,0.9413,1427921.0,0.06,0.863415,0.930412,0.863636,0.895782,15.47,678.3
21,OK,0.8973,123494.0,0.01,0.868949,0.899533,0.921053,0.910165,13.91,611.3
22,OK,0.7638,379119.0,0.08,0.856429,0.911051,0.808612,0.856781,14.0,622.4
23,OK,0.7223,292133.0,0.06,0.836502,0.930168,0.796651,0.858247,13.93,614.0
24,OK,0.7283,359705.0,0.02,0.837267,0.925414,0.801435,0.858974,13.98,615.4
25,OK,0.878,536616.0,0.03,0.856157,0.884354,0.933014,0.908033,14.5,632.9
26,OK,0.8037,262430.0,0.01,0.845528,0.861111,0.889952,0.875294,14.04,604.0
27,OK,0.7748,7469803.0,0.08,0.845178,0.919668,0.794258,0.852375,23.11,974.5
28,OK,0.8814,1652958.0,0.01,0.849315,0.875,0.937799,0.905312,15.84,678.7
29,OK,0.7479,2872457.0,0.02,0.856098,0.897959,0.842105,0.869136,17.26,750.9
30,OK,0.7458,573998.0,0.05,0.848485,0.94429,0.811005,0.872587,14.85,635.6
31,OK,0.9771,1905458.0,0.01,0.873206,0.922518,0.911483,0.916968,15.94,694.2
32,OK,0.8559,2340068.0,0.03,0.842359,0.88665,0.842105,0.863804,16.4,717.2
33,OK,0.936,3564509.0,0.01,0.854093,0.912935,0.87799,0.895122,18.62,786.5
34,OK,0.7641,115931.0,0.04,0.853234,0.904,0.811005,0.854981,13.81,606.8
35,OK,0.7883,343148.0,0.01,0.836538,0.891688,0.84689,0.868712,13.81,626.6
36,OK,0.7591,7688107.0,0.05,0.853598,0.908847,0.811005,0.857143,23.04,980.2
37,OK,0.9454,425947.0,0.01,0.821687,0.898701,0.827751,0.861768,14.18,616.0
38,OK,0.8835,618391.0,0.01,0.853855,0.880631,0.935407,0.907193,14.57,631.8
39,OK,0.9561,827377.0,0.01,0.861827,0.909524,0.913876,0.911695,14.98,642.6
40,OK,0.7742,311354.0,0.04,0.849937,0.909589,0.794258,0.84802,13.94,617.7
41,OK,0.8572,335338.0,0.12,0.84878,0.908854,0.834928,0.870324,14.02,611.1
42,OK,0.8637,6246629.0,0.04,0.837153,0.888889,0.842105,0.864865,21.37,902.3
43,OK,0.8118,274562.0,0.01,0.844444,0.862791,0.88756,0.875,14.2,611.3
44,OK,0.9793,1044846.0,0.01,0.859585,0.926209,0.870813,0.897657,15.02,650.7
45,OK,0.7255,124231.0,0.01,0.834158,0.913514,0.808612,0.857868,13.92,606.6
46,OK,0.7307,1798423.0,0.03,0.838308,0.930556,0.801435,0.861183,15.94,690.2
47,OK,0.9218,698746.0,0.02,0.85514,0.896226,0.909091,0.902613,14.75,635.2
48,OK,0.7178,579747.0,0.05,0.834805,0.92011,0.799043,0.855314,14.22,628.2
49,OK,0.9789,1143480.0,0.01,0.878166,0.931373,0.909091,0.920097,15.55,664.3
50,OK,0.9719,5266952.0,0.02,0.870617,0.922141,0.906699,0.914355,20.16,853.0
