config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.07,0.908108,0.891599,0.929379,0.910097,12.86,416.6
2,OK,0.777,279525.0,0.14,0.906849,0.898305,0.898305,0.898305,12.73,420.3
3,OK,0.9062,2256311.0,0.07,0.910569,0.891599,0.929379,0.910097,13.47,510.0
4,OK,0.9498,149237.0,0.22,0.910326,0.894444,0.909605,0.901961,12.47,408.9
5,OK,0.8181,114708.0,0.22,0.906849,0.898305,0.898305,0.898305,12.67,413.3
6,OK,0.7612,1024968.0,0.12,0.906849,0.898305,0.898305,0.898305,12.78,449.2
7,OK,0.7074,249847.0,0.12,0.906849,0.898305,0.898305,0.898305,12.63,418.9
8,OK,0.882,1229937.0,0.05,0.908108,0.891599,0.929379,0.910097,12.95,456.6
9,OK,0.7617,1508451.0,0.15,0.906849,0.898305,0.898305,0.898305,12.94,470.1
10,OK,0.9266,103038.0,0.11,0.910569,0.894022,0.929379,0.911357,12.49,409.6
11,OK,0.9256,2490455.0,0.1,0.910569,0.891599,0.929379,0.910097,14.95,512.0
12,OK,0.7953,204625.0,0.14,0.906849,0.898305,0.898305,0.898305,12.45,419.1
13,OK,0.968,471182.0,0.07,0.918121,0.890374,0.940678,0.914835,12.53,432.8
14,OK,0.726,156110.0,0.13,0.906849,0.898305,0.898305,0.898305,12.62,411.6
15,OK,0.9373,1612323.0,0.09,0.910326,0.89589,0.923729,0.909597,12.95,472.0
16,OK,0.926,2880471.0,0.1,0.910569,0.891599,0.929379,0.910097,13.71,539.8
17,OK,0.8501,8835508.0,0.24,0.906849,0.898305,0.898305,0.898305,15.55,843.1
18,OK,0.806,1270811.0,0.17,0.906849,0.898305,0.898305,0.898305,13.01,464.3
19,OK,0.9322,1725994.0,0.08,0.911805,0.896458,0.929379,0.912621,13.36,484.1
20,OK,0.9413,1427921.0,0.12,0.910326,0.895028,0.915254,0.905028,13.82,475.3
21,OK,0.8973,123494.0,0.1,0.910569,0.891599,0.929379,0.910097,12.59,412.7
22,OK,0.7638,379119.0,0.17,0.906849,0.898305,0.898305,0.898305,12.68,420.1
23,OK,0.7223,292133.0,0.13,0.906849,0.898305,0.898305,0.898305,12.57,423.8
24,OK,0.7283,359705.0,0.12,0.906849,0.898305,0.898305,0.898305,12.49,433.1
25,OK,0.878,536616.0,0.06,0.908108,0.891599,0.929379,0.910097,12.67,435.1
26,OK,0.8037,262430.0,0.18,0.906849,0.898305,0.898305,0.898305,12.7,425.2
27,OK,0.7748,7469803.0,0.15,0.906849,0.898305,0.898305,0.898305,15.52,775.5
28,OK,0.8814,1652958.0,0.05,0.908108,0.891599,0.929379,0.910097,13.13,476.4
29,OK,0.7479,2872457.0,0.14,0.906849,0.898305,0.898305,0.898305,13.73,538.6
30,OK,0.7458,573998.0,0.16,0.906849,0.898305,0.898305,0.898305,12.66,427.8
31,OK,0.9771,1905458.0,0.07,0.9179,0.892761,0.940678,0.916094,13.14,491.6
32,OK,0.8559,2340068.0,0.06,0.906883,0.889488,0.932203,0.910345,13.4,504.9
33,OK,0.936,3564509.0,0.11,0.910326,0.89589,0.923729,0.909597,13.74,553.1
34,OK,0.7641,115931.0,0.21,0.906849,0.898305,0.898305,0.898305,12.71,413.4
35,OK,0.7883,343148.0,0.17,0.906849,0.898305,0.898305,0.898305,12.78,418.5
36,OK,0.7591,7688107.0,0.15,0.906849,0.898305,0.898305,0.898305,15.2,768.5
37,OK,0.9454,425947.0,0.23,0.910326,0.894737,0.912429,0.903497,12.68,423.5
38,OK,0.8835,618391.0,0.06,0.908108,0.891599,0.929379,0.910097,12.83,429.9
39,OK,0.9561,827377.0,0.11,0.911323,0.899441,0.909605,0.904494,12.73,443.6
40,OK,0.7742,311354.0,0.18,0.906849,0.898305,0.898305,0.898305,12.71,421.9
41,OK,0.8572,335338.0,0.07,0.906883,0.889488,0.932203,0.910345,12.67,426.9
42,OK,0.8637,6246629.0,0.05,0.906883,0.889488,0.932203,0.910345,14.82,689.6
43,OK,0.8118,274562.0,0.21,0.906849,0.898305,0.898305,0.898305,12.79,418.6
44,OK,0.9793,1044846.0,0.07,0.916442,0.892761,0.940678,0.916094,12.88,461.5
45,OK,0.7255,124231.0,0.09,0.906849,0.898305,0.898305,0.898305,12.53,418.5
46,OK,0.7307,1798423.0,0.15,0.906849,0.898305,0.898305,0.898305,13.31,498.5
47,OK,0.9218,698746.0,0.09,0.910569,0.891599,0.929379,0.910097,12.75,443.4
48,OK,0.7178,579747.0,0.11,0.906849,0.898305,0.898305,0.898305,12.85,439.0
49,OK,0.9789,1143480.0,0.07,0.911765,0.888889,0.949153,0.918033,12.9,454.7
50,OK,0.9719,5266952.0,0.05,0.9179,0.892761,0.940678,0.916094,14.54,637.0
