config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.4,0.697789,0.574661,0.625616,0.599057,6.68,368.8
2,OK,0.777,279525.0,0.11,0.694377,0.569507,0.625616,0.596244,6.77,383.0
3,OK,0.9062,2256311.0,0.27,0.697789,0.577273,0.625616,0.600473,7.47,470.6
4,OK,0.9498,149237.0,0.32,0.698254,0.588785,0.62069,0.604317,6.67,380.6
5,OK,0.8181,114708.0,0.05,0.694377,0.569507,0.625616,0.596244,6.57,375.2
6,OK,0.7612,1024968.0,0.1,0.694377,0.569507,0.625616,0.596244,7.11,415.3
7,OK,0.7074,249847.0,0.09,0.694377,0.569507,0.625616,0.596244,6.58,385.8
8,OK,0.882,1229937.0,0.27,0.697789,0.574661,0.625616,0.599057,7.07,424.8
9,OK,0.7617,1508451.0,0.1,0.694377,0.569507,0.625616,0.596244,7.16,441.4
10,OK,0.9266,103038.0,0.3,0.70297,0.579909,0.625616,0.601896,6.57,379.9
11,OK,0.9256,2490455.0,0.31,0.70297,0.579909,0.625616,0.601896,7.38,473.1
12,OK,0.7953,204625.0,0.13,0.694377,0.569507,0.625616,0.596244,6.6,379.7
13,OK,0.968,471182.0,0.33,0.7,0.595238,0.615764,0.605327,6.61,395.2
14,OK,0.726,156110.0,0.14,0.694377,0.569507,0.625616,0.596244,6.58,383.7
15,OK,0.9373,1612323.0,0.34,0.70297,0.585253,0.625616,0.604762,7.1,438.2
16,OK,0.926,2880471.0,0.26,0.70297,0.577273,0.625616,0.600473,7.57,493.3
17,OK,0.8501,8835508.0,0.28,0.696078,0.572072,0.625616,0.597647,9.61,785.0
18,OK,0.806,1270811.0,0.12,0.694377,0.569507,0.625616,0.596244,6.96,430.4
19,OK,0.9322,1725994.0,0.32,0.70297,0.579909,0.625616,0.601896,7.19,443.9
20,OK,0.9413,1427921.0,0.27,0.699752,0.587963,0.625616,0.606205,7.09,435.6
21,OK,0.8973,123494.0,0.14,0.697789,0.574661,0.625616,0.599057,6.49,378.8
22,OK,0.7638,379119.0,0.16,0.694377,0.569507,0.625616,0.596244,6.6,390.2
23,OK,0.7223,292133.0,0.07,0.694377,0.569507,0.625616,0.596244,6.68,387.4
24,OK,0.7283,359705.0,0.13,0.697561,0.568282,0.635468,0.6,6.69,389.5
25,OK,0.878,536616.0,0.29,0.697789,0.574661,0.625616,0.599057,6.69,394.4
26,OK,0.8037,262430.0,0.13,0.694377,0.569507,0.625616,0.596244,6.76,387.4
27,OK,0.7748,7469803.0,0.11,0.694377,0.569507,0.625616,0.596244,9.21,723.8
28,OK,0.8814,1652958.0,0.31,0.697789,0.572072,0.625616,0.597647,7.01,435.1
29,OK,0.7479,2872457.0,0.1,0.694377,0.569507,0.625616,0.596244,7.61,491.3
30,OK,0.7458,573998.0,0.11,0.694377,0.569507,0.625616,0.596244,6.63,394.9
31,OK,0.9771,1905458.0,0.1,0.697789,0.577273,0.625616,0.600473,7.29,462.0
32,OK,0.8559,2340068.0,0.29,0.696078,0.572072,0.625616,0.597647,7.3,471.5
33,OK,0.936,3564509.0,0.32,0.70297,0.585253,0.625616,0.604762,7.78,521.0
34,OK,0.7641,115931.0,0.09,0.694377,0.569507,0.625616,0.596244,6.52,378.0
35,OK,0.7883,343148.0,0.1,0.694377,0.569507,0.625616,0.596244,6.61,383.8
36,OK,0.7591,7688107.0,0.13,0.694377,0.569507,0.625616,0.596244,9.36,740.0
37,OK,0.9454,425947.0,0.1,0.697561,0.570796,0.635468,0.601399,6.64,392.3
38,OK,0.8835,618391.0,0.27,0.697789,0.574661,0.625616,0.599057,6.74,403.3
39,OK,0.9561,827377.0,0.32,0.7,0.588785,0.62069,0.604317,6.78,402.3
40,OK,0.7742,311354.0,0.14,0.694377,0.569507,0.625616,0.596244,6.65,384.8
41,OK,0.8572,335338.0,0.26,0.696078,0.572072,0.625616,0.597647,6.61,385.8
42,OK,0.8637,6246629.0,0.27,0.696078,0.574661,0.625616,0.599057,8.88,662.9
43,OK,0.8118,274562.0,0.13,0.694377,0.569507,0.625616,0.596244,6.61,387.9
44,OK,0.9793,1044846.0,0.11,0.697789,0.579909,0.625616,0.601896,6.98,420.7
45,OK,0.7255,124231.0,0.11,0.694377,0.569507,0.625616,0.596244,6.57,377.7
46,OK,0.7307,1798423.0,0.1,0.694377,0.569507,0.625616,0.596244,7.24,452.9
47,OK,0.9218,698746.0,0.27,0.701235,0.579909,0.625616,0.601896,6.8,399.8
48,OK,0.7178,579747.0,0.12,0.694377,0.569507,0.625616,0.596244,6.68,397.8
49,OK,0.9789,1143480.0,0.11,0.697789,0.579909,0.625616,0.601896,6.98,424.2
50,OK,0.9719,5266952.0,0.11,0.697789,0.577273,0.625616,0.600473,8.33,606.9
