config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.06,0.33244,0.285141,0.464052,0.353234,49.91,1296.5
2,OK,0.777,279525.0,0.04,0.452174,0.655172,0.372549,0.475,49.62,1197.6
3,OK,0.9062,2256311.0,0.09,0.444444,0.472868,0.398693,0.432624,52.57,1299.0
4,OK,0.9498,149237.0,0.05,0.322188,0.278302,0.385621,0.323288,51.04,1229.1
5,OK,0.8181,114708.0,0.04,0.44,0.575758,0.372549,0.452381,50.79,1214.5
6,OK,0.7612,1024968.0,0.05,0.469565,0.695122,0.372549,0.485106,51.45,1222.8
7,OK,0.7074,249847.0,0.02,0.472103,0.659091,0.379085,0.481328,50.43,1187.2
8,OK,0.882,1229937.0,0.09,0.372781,0.310811,0.45098,0.368,51.19,1324.0
9,OK,0.7617,1508451.0,0.03,0.469565,0.695122,0.372549,0.485106,50.71,1251.2
10,OK,0.9266,103038.0,0.18,0.338462,0.764706,0.169935,0.278075,49.99,1299.1
11,OK,0.9256,2490455.0,0.23,0.369369,0.603175,0.248366,0.351852,52.23,1298.1
12,OK,0.7953,204625.0,0.05,0.445415,0.662791,0.372549,0.476987,49.58,1240.7
13,OK,0.968,471182.0,0.04,0.40293,0.408451,0.379085,0.39322,50.05,1265.8
14,OK,0.726,156110.0,0.04,0.445415,0.662791,0.372549,0.476987,50.39,1183.7
15,OK,0.9373,1612323.0,0.29,0.341232,0.614035,0.228758,0.333333,51.61,1303.0
16,OK,0.926,2880471.0,0.22,0.369369,0.603175,0.248366,0.351852,52.71,1436.5
17,OK,0.8501,8835508.0,0.16,0.39604,0.8,0.235294,0.363636,59.25,1695.2
18,OK,0.806,1270811.0,0.04,0.444444,0.617021,0.379085,0.469636,51.0,1352.8
19,OK,0.9322,1725994.0,0.31,0.366972,0.616667,0.24183,0.347418,51.11,1383.2
20,OK,0.9413,1427921.0,0.44,0.313725,0.64,0.20915,0.315271,51.1,1280.2
21,OK,0.8973,123494.0,0.07,0.37963,0.661538,0.281046,0.394495,50.31,1183.6
22,OK,0.7638,379119.0,0.04,0.462882,0.695122,0.372549,0.485106,49.49,1256.7
23,OK,0.7223,292133.0,0.03,0.445415,0.662791,0.372549,0.476987,49.93,1199.7
24,OK,0.7283,359705.0,0.03,0.445415,0.670588,0.372549,0.478992,49.87,1241.2
25,OK,0.878,536616.0,0.06,0.357143,0.296296,0.470588,0.363636,50.25,1269.1
26,OK,0.8037,262430.0,0.03,0.425,0.619565,0.372549,0.465306,50.38,1288.5
27,OK,0.7748,7469803.0,0.04,0.472103,0.659091,0.379085,0.481328,56.92,1588.5
28,OK,0.8814,1652958.0,0.04,0.352617,0.291667,0.457516,0.356234,51.46,1345.9
29,OK,0.7479,2872457.0,0.04,0.449339,0.691358,0.366013,0.478632,52.24,1390.4
30,OK,0.7458,573998.0,0.04,0.469565,0.695122,0.372549,0.485106,50.13,1314.7
31,OK,0.9771,1905458.0,0.06,0.419847,0.470085,0.359477,0.407407,51.46,1313.5
32,OK,0.8559,2340068.0,0.2,0.38,0.8,0.235294,0.363636,52.96,1371.6
33,OK,0.936,3564509.0,0.3,0.35514,0.62069,0.235294,0.341232,52.85,1467.5
34,OK,0.7641,115931.0,0.03,0.442478,0.691358,0.366013,0.478632,50.41,1250.2
35,OK,0.7883,343148.0,0.06,0.445415,0.662791,0.372549,0.476987,51.06,1218.0
36,OK,0.7591,7688107.0,0.04,0.469565,0.695122,0.372549,0.485106,57.11,1673.9
37,OK,0.9454,425947.0,0.06,0.323288,0.264463,0.418301,0.324051,50.4,1265.2
38,OK,0.8835,618391.0,0.04,0.350575,0.291845,0.444444,0.352332,49.78,1296.6
39,OK,0.9561,827377.0,0.05,0.383648,0.331658,0.431373,0.375,51.44,1252.4
40,OK,0.7742,311354.0,0.03,0.452174,0.655172,0.372549,0.475,50.34,1228.8
41,OK,0.8572,335338.0,0.17,0.38,0.8,0.235294,0.363636,50.55,1323.0
42,OK,0.8637,6246629.0,0.33,0.371859,0.795455,0.228758,0.35533,56.24,1563.0
43,OK,0.8118,274562.0,0.04,0.42449,0.59375,0.372549,0.457831,50.3,1272.2
44,OK,0.9793,1044846.0,0.1,0.420233,0.477876,0.352941,0.406015,51.27,1337.1
45,OK,0.7255,124231.0,0.02,0.445415,0.662791,0.372549,0.476987,51.59,1280.8
46,OK,0.7307,1798423.0,0.03,0.447368,0.670588,0.372549,0.478992,51.78,1334.4
47,OK,0.9218,698746.0,0.17,0.373333,0.567164,0.248366,0.345455,51.41,1282.4
48,OK,0.7178,579747.0,0.03,0.465517,0.666667,0.379085,0.483333,50.32,1315.0
49,OK,0.9789,1143480.0,0.1,0.418605,0.477876,0.352941,0.406015,50.69,1314.0
50,OK,0.9719,5266952.0,0.04,0.42029,0.447761,0.392157,0.418118,54.8,1605.9
