config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.01,0.979638,0.966443,0.988558,0.977376,12.1,279.0
2,OK,0.777,279525.0,0.0,0.975446,0.95207,1.0,0.975446,13.09,290.2
3,OK,0.9062,2256311.0,0.02,0.976163,0.970721,0.98627,0.978434,29.26,388.7
4,OK,0.9498,149237.0,0.01,0.978531,0.966443,0.988558,0.977376,12.33,282.4
5,OK,0.8181,114708.0,0.0,0.975446,0.95207,1.0,0.975446,12.1,281.6
6,OK,0.7612,1024968.0,0.0,0.975446,0.95207,1.0,0.975446,19.28,320.7
7,OK,0.7074,249847.0,0.0,0.975446,0.95207,1.0,0.975446,12.35,287.8
8,OK,0.882,1229937.0,0.02,0.979638,0.966368,0.98627,0.976217,20.77,328.0
9,OK,0.7617,1508451.0,0.0,0.975446,0.95207,1.0,0.975446,23.86,346.6
10,OK,0.9266,103038.0,0.01,0.976217,0.968468,0.983982,0.976163,11.95,280.9
11,OK,0.9256,2490455.0,0.01,0.976217,0.968468,0.983982,0.976163,31.58,404.4
12,OK,0.7953,204625.0,0.0,0.975446,0.95207,1.0,0.975446,12.43,282.3
13,OK,0.968,471182.0,0.01,0.976217,0.970721,0.98627,0.978434,13.96,295.9
14,OK,0.726,156110.0,0.0,0.975446,0.95207,1.0,0.975446,12.2,282.1
15,OK,0.9373,1612323.0,0.0,0.975446,0.95207,1.0,0.975446,24.45,344.8
16,OK,0.926,2880471.0,0.01,0.976217,0.968468,0.983982,0.976163,34.74,428.0
17,OK,0.8501,8835508.0,0.0,0.975446,0.95207,1.0,0.975446,61.6,635.4
18,OK,0.806,1270811.0,0.0,0.975446,0.95207,1.0,0.975446,20.81,323.9
19,OK,0.9322,1725994.0,0.0,0.975446,0.95207,1.0,0.975446,26.22,360.0
20,OK,0.9413,1427921.0,0.0,0.975446,0.95207,1.0,0.975446,23.34,341.0
21,OK,0.8973,123494.0,0.01,0.976217,0.970721,0.98627,0.978434,12.34,282.0
22,OK,0.7638,379119.0,0.0,0.975446,0.95207,1.0,0.975446,13.82,288.7
23,OK,0.7223,292133.0,0.0,0.975446,0.95207,1.0,0.975446,12.77,288.6
24,OK,0.7283,359705.0,0.0,0.975446,0.95207,1.0,0.975446,12.99,290.7
25,OK,0.878,536616.0,0.01,0.979638,0.966443,0.988558,0.977376,14.93,298.1
26,OK,0.8037,262430.0,0.0,0.975446,0.95207,1.0,0.975446,12.39,286.3
27,OK,0.7748,7469803.0,0.0,0.975446,0.95207,1.0,0.975446,61.24,634.0
28,OK,0.8814,1652958.0,0.01,0.979638,0.966368,0.98627,0.976217,24.96,348.4
29,OK,0.7479,2872457.0,0.0,0.975446,0.95207,1.0,0.975446,35.79,440.0
30,OK,0.7458,573998.0,0.0,0.975446,0.95207,1.0,0.975446,14.67,297.2
31,OK,0.9771,1905458.0,0.0,0.975446,0.95207,1.0,0.975446,26.27,365.5
32,OK,0.8559,2340068.0,0.0,0.975446,0.95207,1.0,0.975446,30.63,396.6
33,OK,0.936,3564509.0,0.0,0.975446,0.95207,1.0,0.975446,39.1,469.5
34,OK,0.7641,115931.0,0.0,0.975446,0.95207,1.0,0.975446,11.76,281.6
35,OK,0.7883,343148.0,0.0,0.975446,0.95207,1.0,0.975446,12.96,288.3
36,OK,0.7591,7688107.0,0.0,0.975446,0.95207,1.0,0.975446,60.21,639.6
37,OK,0.9454,425947.0,0.0,0.975446,0.95207,1.0,0.975446,13.95,293.2
38,OK,0.8835,618391.0,0.01,0.979638,0.966368,0.98627,0.976217,15.66,300.2
39,OK,0.9561,827377.0,0.02,0.978482,0.970721,0.98627,0.978434,17.65,310.7
40,OK,0.7742,311354.0,0.0,0.975446,0.95207,1.0,0.975446,13.64,288.4
41,OK,0.8572,335338.0,0.0,0.975446,0.95207,1.0,0.975446,13.39,290.1
42,OK,0.8637,6246629.0,0.0,0.975446,0.95207,1.0,0.975446,62.22,636.7
43,OK,0.8118,274562.0,0.0,0.975446,0.95207,1.0,0.975446,13.14,289.5
44,OK,0.9793,1044846.0,0.0,0.975446,0.95207,1.0,0.975446,18.8,318.6
45,OK,0.7255,124231.0,0.0,0.975446,0.95207,1.0,0.975446,11.85,279.9
46,OK,0.7307,1798423.0,0.0,0.975446,0.95207,1.0,0.975446,24.53,354.1
47,OK,0.9218,698746.0,0.01,0.976217,0.96861,0.988558,0.978482,17.07,306.0
48,OK,0.7178,579747.0,0.0,0.975446,0.95207,1.0,0.975446,16.13,303.9
49,OK,0.9789,1143480.0,0.0,0.975446,0.95207,1.0,0.975446,20.05,321.1
50,OK,0.9719,5266952.0,0.02,0.976163,0.970655,0.983982,0.977273,55.41,588.3
