config_id,status,comparison_strictness,estimate_u_max_pairs,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.879,112207.0,0.37,0.616487,0.975904,0.424084,0.591241,19.17,390.2
2,OK,0.777,279525.0,0.16,0.6121,0.975904,0.424084,0.591241,18.53,402.4
3,OK,0.9062,2256311.0,0.42,0.616487,0.987805,0.424084,0.593407,19.92,495.2
4,OK,0.9498,149237.0,0.36,0.621429,0.975904,0.424084,0.591241,18.41,394.1
5,OK,0.8181,114708.0,0.15,0.6121,0.975904,0.424084,0.591241,21.44,393.0
6,OK,0.7612,1024968.0,0.2,0.6121,0.975904,0.424084,0.591241,19.55,429.4
7,OK,0.7074,249847.0,0.19,0.6121,0.975904,0.424084,0.591241,18.5,399.4
8,OK,0.882,1229937.0,0.27,0.616487,0.975904,0.424084,0.591241,19.67,438.4
9,OK,0.7617,1508451.0,0.17,0.6121,0.975904,0.424084,0.591241,19.06,455.0
10,OK,0.9266,103038.0,0.19,0.619217,0.97619,0.429319,0.596364,18.34,390.4
11,OK,0.9256,2490455.0,0.16,0.617021,0.97619,0.429319,0.596364,19.51,522.8
12,OK,0.7953,204625.0,0.23,0.6121,0.975904,0.424084,0.591241,18.51,397.2
13,OK,0.968,471182.0,0.13,0.617021,0.964286,0.424084,0.589091,18.53,407.0
14,OK,0.726,156110.0,0.18,0.6121,0.975904,0.424084,0.591241,18.41,393.1
15,OK,0.9373,1612323.0,0.3,0.614286,0.975904,0.424084,0.591241,18.84,449.1
16,OK,0.926,2880471.0,0.27,0.619217,0.97619,0.429319,0.596364,19.44,558.2
17,OK,0.8501,8835508.0,0.22,0.614286,0.975904,0.424084,0.591241,21.83,902.9
18,OK,0.806,1270811.0,0.15,0.6121,0.975904,0.424084,0.591241,18.86,443.2
19,OK,0.9322,1725994.0,0.24,0.619217,0.97619,0.429319,0.596364,18.99,469.0
20,OK,0.9413,1427921.0,0.14,0.617021,0.975904,0.424084,0.591241,18.97,447.1
21,OK,0.8973,123494.0,0.47,0.616487,0.975904,0.424084,0.591241,19.33,396.8
22,OK,0.7638,379119.0,0.14,0.6121,0.975904,0.424084,0.591241,18.57,409.2
23,OK,0.7223,292133.0,0.16,0.6121,0.975904,0.424084,0.591241,19.3,400.1
24,OK,0.7283,359705.0,0.17,0.6121,0.975904,0.424084,0.591241,18.61,404.0
25,OK,0.878,536616.0,0.3,0.616487,0.975904,0.424084,0.591241,18.86,413.8
26,OK,0.8037,262430.0,0.2,0.6121,0.975904,0.424084,0.591241,18.43,395.6
27,OK,0.7748,7469803.0,0.17,0.6121,0.975904,0.424084,0.591241,24.25,804.1
28,OK,0.8814,1652958.0,0.31,0.616487,0.975904,0.424084,0.591241,19.67,455.0
29,OK,0.7479,2872457.0,0.2,0.6121,0.975904,0.424084,0.591241,19.42,517.7
30,OK,0.7458,573998.0,0.18,0.6121,0.975904,0.424084,0.591241,18.69,413.2
31,OK,0.9771,1905458.0,0.15,0.619217,0.975904,0.424084,0.591241,19.09,476.3
32,OK,0.8559,2340068.0,0.26,0.614286,0.975904,0.424084,0.591241,19.2,506.4
33,OK,0.936,3564509.0,0.25,0.619217,0.97619,0.429319,0.596364,19.73,571.6
34,OK,0.7641,115931.0,0.13,0.6121,0.975904,0.424084,0.591241,18.31,393.0
35,OK,0.7883,343148.0,0.25,0.6121,0.975904,0.424084,0.591241,18.56,401.1
36,OK,0.7591,7688107.0,0.16,0.6121,0.975904,0.424084,0.591241,21.63,842.0
37,OK,0.9454,425947.0,0.3,0.621429,0.975904,0.424084,0.591241,18.5,402.7
38,OK,0.8835,618391.0,0.21,0.616487,0.975904,0.424084,0.591241,18.65,416.2
39,OK,0.9561,827377.0,0.25,0.616487,0.975904,0.424084,0.591241,21.27,420.8
40,OK,0.7742,311354.0,0.16,0.6121,0.975904,0.424084,0.591241,21.09,404.5
41,OK,0.8572,335338.0,0.3,0.614286,0.975904,0.424084,0.591241,19.11,404.0
42,OK,0.8637,6246629.0,0.31,0.614286,0.975904,0.424084,0.591241,20.75,714.4
43,OK,0.8118,274562.0,0.24,0.6121,0.975904,0.424084,0.591241,21.57,402.5
44,OK,0.9793,1044846.0,0.43,0.616487,0.987805,0.424084,0.593407,18.85,433.9
45,OK,0.7255,124231.0,0.11,0.6121,0.975904,0.424084,0.591241,18.51,393.4
46,OK,0.7307,1798423.0,0.17,0.6121,0.975904,0.424084,0.591241,18.86,464.0
47,OK,0.9218,698746.0,0.28,0.619217,0.97619,0.429319,0.596364,18.66,419.3
48,OK,0.7178,579747.0,0.17,0.6121,0.975904,0.424084,0.591241,18.46,414.8
49,OK,0.9789,1143480.0,0.29,0.616487,0.987805,0.424084,0.593407,18.84,439.0
50,OK,0.9719,5266952.0,0.16,0.617021,0.964286,0.424084,0.589091,20.34,694.5
