config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.0,0.230028,0.129962,1.0,0.230028,120.64,193.7
2,OK,23,0.3009,7.6282,0.0,0.230028,0.129962,1.0,0.230028,111.68,193.5
3,OK,51,0.7666,5.9083,0.0,0.230028,0.129962,1.0,0.230028,120.61,193.4
4,OK,45,0.4797,1.2682,0.01,0.459975,0.299835,0.896552,0.449383,106.13,190.4
5,OK,21,0.3094,6.4182,0.0,0.230028,0.129962,1.0,0.230028,115.63,191.6
6,OK,43,0.279,6.849,0.0,0.230028,0.129962,1.0,0.230028,121.09,193.2
7,OK,42,0.4776,5.0429,0.0,0.230028,0.129962,1.0,0.230028,116.12,191.7
8,OK,25,0.8285,1.0585,0.51,0.460358,0.301165,0.891626,0.450249,104.17,188.4
9,OK,59,0.2437,4.8035,0.0,0.230028,0.129962,1.0,0.230028,114.62,189.7
10,OK,25,0.2399,9.6149,0.0,0.230028,0.129962,1.0,0.230028,111.63,192.2
11,OK,29,0.192,4.4193,0.0,0.230028,0.129962,1.0,0.230028,115.14,189.2
12,OK,30,0.8627,6.4335,0.0,0.230028,0.129962,1.0,0.230028,113.68,190.8
13,OK,59,0.1391,5.1348,0.0,0.230028,0.129962,1.0,0.230028,118.14,191.3
14,OK,15,0.9758,4.4068,0.0,0.230028,0.129962,1.0,0.230028,115.44,189.8
15,OK,43,0.3639,6.6578,0.0,0.230028,0.129962,1.0,0.230028,113.13,192.5
16,OK,64,0.8755,6.1962,0.0,0.230028,0.129962,1.0,0.230028,116.63,191.3
17,OK,53,0.1626,6.9514,0.0,0.230028,0.129962,1.0,0.230028,115.62,192.4
18,OK,57,0.3604,1.7181,0.01,0.45977,0.300826,0.896552,0.450495,109.07,189.0
19,OK,22,0.8798,4.4211,0.0,0.230028,0.129962,1.0,0.230028,108.63,189.4
20,OK,37,0.6721,4.2835,0.01,0.456774,0.303691,0.891626,0.453066,112.8,195.2
21,OK,31,0.4197,7.0316,0.0,0.230028,0.129962,1.0,0.230028,113.14,192.5
22,OK,52,0.943,6.8323,0.0,0.230028,0.129962,1.0,0.230028,113.61,192.4
23,OK,46,0.6715,5.8073,0.0,0.230028,0.129962,1.0,0.230028,137.16,189.9
24,OK,23,0.2471,4.4151,0.0,0.230028,0.129962,1.0,0.230028,112.15,189.0
25,OK,48,0.7193,2.9765,0.01,0.456996,0.302676,0.891626,0.451935,111.27,192.4
26,OK,28,0.8586,7.984,0.0,0.230028,0.129962,1.0,0.230028,111.65,192.5
27,OK,22,0.8396,8.2454,0.0,0.230028,0.129962,1.0,0.230028,114.63,194.3
28,OK,33,0.341,2.8988,0.01,0.457584,0.303183,0.891626,0.4525,111.09,192.5
29,OK,44,0.8887,3.8321,0.0,0.230028,0.129962,1.0,0.230028,114.14,189.8
30,OK,49,0.5493,8.9621,0.0,0.230028,0.129962,1.0,0.230028,114.11,193.3
31,OK,49,0.513,3.3839,0.01,0.456186,0.303183,0.891626,0.4525,113.32,193.8
32,OK,23,0.7705,5.8508,0.0,0.230028,0.129962,1.0,0.230028,114.12,191.1
33,OK,55,0.6261,9.0804,0.0,0.230028,0.129962,1.0,0.230028,114.62,193.4
34,OK,33,0.4258,9.9759,0.0,0.230028,0.129962,1.0,0.230028,113.62,193.7
35,OK,16,0.5586,1.8182,0.01,0.45977,0.300166,0.891626,0.449132,107.12,189.9
36,OK,11,0.875,2.3756,0.01,0.455013,0.302013,0.8867,0.450563,107.18,193.3
37,OK,18,0.8129,4.7994,0.0,0.230028,0.129962,1.0,0.230028,111.14,190.8
38,OK,12,0.4463,6.363,0.0,0.230028,0.129962,1.0,0.230028,111.64,192.5
39,OK,37,0.5762,9.7397,0.0,0.230028,0.129962,1.0,0.230028,126.63,191.9
40,OK,63,0.9482,7.1226,0.0,0.230028,0.129962,1.0,0.230028,116.61,192.4
41,OK,15,0.7135,5.8327,0.0,0.230028,0.129962,1.0,0.230028,111.12,190.0
42,OK,25,0.7917,4.0616,0.0,0.230028,0.129962,1.0,0.230028,109.66,189.0
43,OK,26,0.4913,5.0835,0.0,0.230028,0.129962,1.0,0.230028,115.14,189.0
44,OK,54,0.8883,3.3705,0.0,0.230028,0.129962,1.0,0.230028,114.15,187.8
45,OK,40,0.7858,5.5691,0.0,0.230028,0.129962,1.0,0.230028,115.13,190.8
46,OK,14,0.8835,3.686,0.0,0.230028,0.129962,1.0,0.230028,110.13,188.9
47,OK,48,0.5569,2.7902,0.46,0.457364,0.303691,0.891626,0.453066,110.61,190.7
48,OK,31,0.7863,5.8544,0.0,0.230028,0.129962,1.0,0.230028,114.15,189.9
49,OK,57,0.9302,9.2664,0.0,0.230028,0.129962,1.0,0.230028,114.11,189.9
50,OK,46,0.3917,1.1753,0.48,0.460358,0.301667,0.891626,0.450809,111.15,189.1
