config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.393195,0.988506,0.205742,0.340594,424.52,216.3
2,OK,23,0.3009,7.6282,0.01,0.393195,0.988506,0.205742,0.340594,414.72,215.4
3,OK,51,0.7666,5.9083,0.01,0.396226,0.988506,0.205742,0.340594,417.95,216.5
4,OK,45,0.4797,1.2682,0.73,0.39851,0.910891,0.220096,0.354528,363.32,206.4
5,OK,21,0.3094,6.4182,0.01,0.393195,0.988636,0.208134,0.343874,406.91,215.8
6,OK,43,0.279,6.849,0.01,0.396226,0.988506,0.205742,0.340594,420.48,215.6
7,OK,42,0.4776,5.0429,0.01,0.396975,0.988636,0.208134,0.343874,420.46,217.0
8,OK,25,0.8285,1.0585,0.78,0.399254,0.91,0.217703,0.351351,359.05,205.0
9,OK,59,0.2437,4.8035,0.01,0.393195,0.988636,0.208134,0.343874,423.38,216.6
10,OK,25,0.2399,9.6149,0.01,0.393939,0.988636,0.208134,0.343874,409.93,215.9
11,OK,29,0.192,4.4193,0.01,0.393195,0.977273,0.205742,0.339921,412.99,214.0
12,OK,30,0.8627,6.4335,0.01,0.396226,0.988506,0.205742,0.340594,420.49,216.0
13,OK,59,0.1391,5.1348,0.01,0.396226,0.988764,0.210526,0.34714,423.45,215.8
14,OK,15,0.9758,4.4068,0.01,0.396226,0.977528,0.208134,0.343195,406.49,213.8
15,OK,43,0.3639,6.6578,0.01,0.396226,0.988506,0.205742,0.340594,422.99,217.1
16,OK,64,0.8755,6.1962,0.01,0.393939,0.988506,0.205742,0.340594,430.26,216.4
17,OK,53,0.1626,6.9514,0.01,0.396226,0.988506,0.205742,0.340594,429.46,217.1
18,OK,57,0.3604,1.7181,0.01,0.39851,0.9,0.215311,0.34749,374.03,207.2
19,OK,22,0.8798,4.4211,0.01,0.396226,0.977273,0.205742,0.339921,415.38,215.2
20,OK,37,0.6721,4.2835,0.01,0.396226,0.977778,0.210526,0.346457,418.15,214.0
21,OK,31,0.4197,7.0316,0.01,0.393195,0.988506,0.205742,0.340594,421.14,216.8
22,OK,52,0.943,6.8323,0.01,0.393195,0.988506,0.205742,0.340594,422.98,215.4
23,OK,46,0.6715,5.8073,0.01,0.393195,0.988636,0.208134,0.343874,417.54,216.9
24,OK,23,0.2471,4.4151,0.49,0.4,0.977778,0.210526,0.346457,416.28,215.7
25,OK,48,0.7193,2.9765,0.01,0.394737,0.956989,0.212919,0.348337,392.58,212.4
26,OK,28,0.8586,7.984,0.01,0.396226,0.988636,0.208134,0.343874,415.44,215.6
27,OK,22,0.8396,8.2454,0.01,0.396226,0.988506,0.205742,0.340594,410.06,215.9
28,OK,33,0.341,2.8988,0.5,0.397004,0.927083,0.212919,0.346304,388.42,210.8
29,OK,44,0.8887,3.8321,0.01,0.398496,0.956522,0.210526,0.345098,415.61,212.7
30,OK,49,0.5493,8.9621,0.01,0.396226,0.988636,0.208134,0.343874,418.51,216.4
31,OK,49,0.513,3.3839,0.43,0.397749,0.9375,0.215311,0.350195,397.52,213.3
32,OK,23,0.7705,5.8508,0.01,0.393195,0.988506,0.205742,0.340594,417.03,215.6
33,OK,55,0.6261,9.0804,0.01,0.393195,0.988636,0.208134,0.343874,426.32,215.6
34,OK,33,0.4258,9.9759,0.01,0.396226,0.988636,0.208134,0.343874,410.71,216.3
35,OK,16,0.5586,1.8182,0.73,0.396262,0.919192,0.217703,0.352031,370.95,207.1
36,OK,11,0.875,2.3756,0.62,0.396262,0.927835,0.215311,0.349515,375.51,209.2
37,OK,18,0.8129,4.7994,0.01,0.39548,0.967391,0.212919,0.34902,416.45,214.5
38,OK,12,0.4463,6.363,0.01,0.396226,0.988506,0.205742,0.340594,413.93,215.9
39,OK,37,0.5762,9.7397,0.01,0.396226,0.988636,0.208134,0.343874,419.05,217.4
40,OK,63,0.9482,7.1226,0.01,0.396226,0.988506,0.205742,0.340594,431.04,217.2
41,OK,15,0.7135,5.8327,0.01,0.396226,0.988636,0.208134,0.343874,408.91,217.3
42,OK,25,0.7917,4.0616,0.47,0.399247,0.967033,0.210526,0.345776,407.52,212.7
