config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.980437,0.993023,0.977117,0.985006,109.16,185.0
2,OK,23,0.3009,7.6282,0.01,0.982739,0.995338,0.977117,0.986143,106.95,183.3
3,OK,51,0.7666,5.9083,0.01,0.981567,0.995327,0.974828,0.984971,108.18,182.3
4,OK,45,0.4797,1.2682,0.01,0.980392,0.993007,0.974828,0.983834,109.48,181.9
5,OK,21,0.3094,6.4182,0.01,0.980392,0.995327,0.974828,0.984971,107.45,182.3
6,OK,43,0.279,6.849,0.01,0.980437,0.992991,0.97254,0.982659,109.23,182.4
7,OK,42,0.4776,5.0429,0.01,0.980437,0.992991,0.97254,0.982659,107.56,184.1
8,OK,25,0.8285,1.0585,0.01,0.980437,0.993023,0.977117,0.985006,106.73,184.2
9,OK,59,0.2437,4.8035,0.01,0.980437,0.993023,0.977117,0.985006,109.99,183.0
10,OK,25,0.2399,9.6149,0.01,0.980437,0.993023,0.977117,0.985006,106.46,183.9
11,OK,29,0.192,4.4193,0.01,0.980437,0.993023,0.977117,0.985006,106.79,182.3
12,OK,30,0.8627,6.4335,0.01,0.980437,0.993023,0.977117,0.985006,106.55,183.2
13,OK,59,0.1391,5.1348,0.01,0.980437,0.992991,0.97254,0.982659,109.56,183.2
14,OK,15,0.9758,4.4068,0.01,0.980437,0.993023,0.977117,0.985006,105.96,181.5
15,OK,43,0.3639,6.6578,0.01,0.980437,0.993007,0.974828,0.983834,107.92,183.2
16,OK,64,0.8755,6.1962,0.01,0.981609,0.993007,0.974828,0.983834,108.74,183.2
17,OK,53,0.1626,6.9514,0.01,0.981609,0.993007,0.974828,0.983834,107.49,181.6
18,OK,57,0.3604,1.7181,0.01,0.981609,0.993023,0.977117,0.985006,108.99,185.0
19,OK,22,0.8798,4.4211,0.01,0.983871,0.995316,0.97254,0.983796,105.52,181.9
20,OK,37,0.6721,4.2835,0.01,0.982739,0.995327,0.974828,0.984971,108.98,181.5
21,OK,31,0.4197,7.0316,0.01,0.981609,0.993007,0.974828,0.983834,108.54,181.5
22,OK,52,0.943,6.8323,0.01,0.981609,0.993007,0.974828,0.983834,109.27,185.0
23,OK,46,0.6715,5.8073,0.01,0.981567,0.993007,0.974828,0.983834,107.49,184.1
24,OK,23,0.2471,4.4151,0.01,0.980437,0.993023,0.977117,0.985006,106.2,183.2
25,OK,48,0.7193,2.9765,0.01,0.979263,0.992991,0.97254,0.982659,110.18,182.4
26,OK,28,0.8586,7.984,0.01,0.981567,0.995349,0.979405,0.987313,107.61,182.3
27,OK,22,0.8396,8.2454,0.01,0.982778,0.993023,0.977117,0.985006,107.45,182.7
28,OK,33,0.341,2.8988,0.01,0.980437,0.993007,0.974828,0.983834,108.44,182.3
29,OK,44,0.8887,3.8321,0.01,0.980437,0.993007,0.974828,0.983834,107.92,182.6
30,OK,49,0.5493,8.9621,0.01,0.979263,0.992991,0.97254,0.982659,108.51,182.4
31,OK,49,0.513,3.3839,0.01,0.982778,0.993023,0.977117,0.985006,108.54,183.2
32,OK,23,0.7705,5.8508,0.01,0.982778,0.993007,0.974828,0.983834,107.69,184.9
33,OK,55,0.6261,9.0804,0.01,0.982739,0.995338,0.977117,0.986143,109.5,184.0
34,OK,33,0.4258,9.9759,0.01,0.980437,0.993039,0.979405,0.986175,108.25,182.9
35,OK,16,0.5586,1.8182,0.01,0.981609,0.993007,0.974828,0.983834,106.51,180.6
36,OK,11,0.875,2.3756,0.01,0.978085,0.993023,0.977117,0.985006,107.12,182.6
37,OK,18,0.8129,4.7994,0.01,0.979263,0.993007,0.974828,0.983834,106.09,184.3
38,OK,12,0.4463,6.363,0.01,0.980437,0.993007,0.974828,0.983834,104.7,183.2
39,OK,37,0.5762,9.7397,0.01,0.981609,0.993056,0.981693,0.987342,107.6,182.1
40,OK,63,0.9482,7.1226,0.01,0.980437,0.993007,0.974828,0.983834,108.18,182.7
41,OK,15,0.7135,5.8327,0.01,0.979215,0.995338,0.977117,0.986143,105.03,180.7
42,OK,25,0.7917,4.0616,0.01,0.980437,0.993007,0.974828,0.983834,106.68,183.2
43,OK,26,0.4913,5.0835,0.01,0.981609,0.993023,0.977117,0.985006,106.52,183.5
44,OK,54,0.8883,3.3705,0.01,0.981609,0.993023,0.977117,0.985006,108.24,183.2
45,OK,40,0.7858,5.5691,0.01,0.980437,0.993007,0.974828,0.983834,109.31,184.1
46,OK,14,0.8835,3.686,0.01,0.980392,0.992991,0.97254,0.982659,106.18,183.8
47,OK,48,0.5569,2.7902,0.01,0.981567,0.993007,0.974828,0.983834,110.17,183.2
48,OK,31,0.7863,5.8544,0.01,0.980392,0.995316,0.97254,0.983796,108.08,184.0
49,OK,57,0.9302,9.2664,0.01,0.981609,0.992991,0.97254,0.982659,108.96,185.0
50,OK,46,0.3917,1.1753,0.01,0.979263,0.993039,0.979405,0.986175,106.96,183.2
