config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.72,0.502778,0.32675,0.95288,0.486631,106.25,250.6
2,OK,23,0.3009,7.6282,0.72,0.507714,0.327338,0.95288,0.487282,105.38,246.2
3,OK,51,0.7666,5.9083,0.78,0.507714,0.327338,0.95288,0.487282,106.03,249.8
4,OK,45,0.4797,1.2682,0.96,0.504881,0.326165,0.95288,0.485981,96.95,242.0
5,OK,21,0.3094,6.4182,0.77,0.507003,0.32675,0.95288,0.486631,103.25,245.3
6,OK,43,0.279,6.849,0.76,0.507714,0.327338,0.95288,0.487282,105.13,244.9
7,OK,42,0.4776,5.0429,0.8,0.502778,0.325581,0.95288,0.485333,104.69,248.3
8,OK,25,0.8285,1.0585,0.96,0.500692,0.325,0.95288,0.484687,92.9,244.2
9,OK,59,0.2437,4.8035,0.81,0.507714,0.327338,0.95288,0.487282,100.56,246.8
10,OK,25,0.2399,9.6149,0.68,0.503477,0.32852,0.95288,0.488591,107.32,246.8
11,OK,29,0.192,4.4193,0.84,0.50208,0.325,0.95288,0.484687,100.81,247.6
12,OK,30,0.8627,6.4335,0.77,0.507714,0.327338,0.95288,0.487282,105.38,244.3
13,OK,59,0.1391,5.1348,0.8,0.502778,0.325581,0.95288,0.485333,103.35,247.9
14,OK,15,0.9758,4.4068,0.84,0.502778,0.325581,0.95288,0.485333,98.77,250.3
15,OK,43,0.3639,6.6578,0.77,0.50208,0.325,0.95288,0.484687,103.33,248.4
16,OK,64,0.8755,6.1962,0.78,0.50208,0.325,0.95288,0.484687,104.4,249.5
17,OK,53,0.1626,6.9514,0.76,0.507714,0.32852,0.95288,0.488591,106.18,249.9
18,OK,57,0.3604,1.7181,0.93,0.506294,0.327338,0.95288,0.487282,95.36,244.5
19,OK,22,0.8798,4.4211,0.84,0.507003,0.32675,0.95288,0.486631,100.56,247.9
20,OK,37,0.6721,4.2835,0.84,0.502778,0.325581,0.95288,0.485333,100.72,248.6
21,OK,31,0.4197,7.0316,0.75,0.507003,0.327928,0.95288,0.487936,108.23,251.5
22,OK,52,0.943,6.8323,0.76,0.507714,0.327338,0.95288,0.487282,115.09,243.5
23,OK,46,0.6715,5.8073,0.78,0.507714,0.327338,0.95288,0.487282,100.9,247.9
24,OK,23,0.2471,4.4151,0.84,0.507714,0.327338,0.95288,0.487282,99.91,248.1
25,OK,48,0.7193,2.9765,0.87,0.507003,0.32675,0.95288,0.486631,110.73,246.4
26,OK,28,0.8586,7.984,0.71,0.502778,0.325581,0.95288,0.485333,106.07,250.0
27,OK,22,0.8396,8.2454,0.71,0.502778,0.32675,0.95288,0.486631,105.25,249.9
28,OK,33,0.341,2.8988,0.87,0.502778,0.325581,0.95288,0.485333,96.01,241.9
29,OK,44,0.8887,3.8321,0.85,0.502778,0.325581,0.95288,0.485333,100.38,242.3
30,OK,49,0.5493,8.9621,0.68,0.502778,0.32675,0.95288,0.486631,108.33,251.4
31,OK,49,0.513,3.3839,0.86,0.507714,0.327338,0.95288,0.487282,99.89,245.5
32,OK,23,0.7705,5.8508,0.78,0.507714,0.327338,0.95288,0.487282,104.32,245.9
33,OK,55,0.6261,9.0804,0.68,0.503477,0.32852,0.95288,0.488591,110.36,249.2
34,OK,33,0.4258,9.9759,0.67,0.502778,0.327928,0.95288,0.487936,110.84,250.5
35,OK,16,0.5586,1.8182,0.93,0.500692,0.325,0.95288,0.484687,93.35,243.1
36,OK,11,0.875,2.3756,0.9,0.505587,0.32675,0.95288,0.486631,92.81,247.7
37,OK,18,0.8129,4.7994,0.82,0.502778,0.325581,0.95288,0.485333,92.4,248.2
38,OK,12,0.4463,6.363,0.77,0.507714,0.32852,0.95288,0.488591,95.17,245.0
39,OK,37,0.5762,9.7397,0.68,0.503477,0.32852,0.95288,0.488591,100.05,251.7
40,OK,63,0.9482,7.1226,0.75,0.507003,0.32675,0.95288,0.486631,99.66,247.9
41,OK,15,0.7135,5.8327,0.78,0.50208,0.325,0.95288,0.484687,91.76,246.7
42,OK,25,0.7917,4.0616,0.85,0.507714,0.327338,0.95288,0.487282,92.97,245.3
43,OK,26,0.4913,5.0835,0.8,0.507003,0.32675,0.95288,0.486631,95.2,249.9
44,OK,54,0.8883,3.3705,0.86,0.502778,0.325581,0.95288,0.485333,94.76,242.3
45,OK,40,0.7858,5.5691,0.79,0.502778,0.325581,0.95288,0.485333,98.74,246.0
46,OK,14,0.8835,3.686,0.85,0.502778,0.325581,0.95288,0.485333,89.64,247.4
47,OK,48,0.5569,2.7902,0.88,0.507714,0.327338,0.95288,0.487282,92.81,244.1
48,OK,31,0.7863,5.8544,0.78,0.502778,0.325581,0.95288,0.485333,99.52,248.4
49,OK,57,0.9302,9.2664,0.68,0.507003,0.327928,0.95288,0.487936,103.51,251.2
50,OK,46,0.3917,1.1753,0.96,0.500692,0.325,0.95288,0.484687,88.51,245.1
