config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.253731,0.460674,0.20398,0.282759,323.57,224.9
2,OK,23,0.3009,7.6282,0.01,0.246269,0.488636,0.21393,0.297578,321.51,223.7
3,OK,51,0.7666,5.9083,0.01,0.283688,0.438776,0.21393,0.287625,295.01,225.6
4,OK,45,0.4797,1.2682,0.58,0.29582,0.376923,0.243781,0.296073,224.44,197.5
5,OK,21,0.3094,6.4182,0.01,0.267148,0.467391,0.21393,0.293515,281.03,221.0
6,OK,43,0.279,6.849,0.01,0.236641,0.45977,0.199005,0.277778,305.97,222.2
7,OK,42,0.4776,5.0429,0.42,0.287625,0.420168,0.248756,0.3125,292.99,210.5
8,OK,25,0.8285,1.0585,0.46,0.305177,0.347059,0.293532,0.318059,252.97,198.0
9,OK,59,0.2437,4.8035,0.01,0.267148,0.463918,0.223881,0.302013,286.49,206.0
10,OK,25,0.2399,9.6149,0.01,0.232558,0.5,0.19403,0.27957,338.51,222.9
11,OK,29,0.192,4.4193,0.01,0.27758,0.442105,0.208955,0.283784,259.48,205.9
12,OK,30,0.8627,6.4335,0.01,0.249057,0.47191,0.208955,0.289655,303.07,221.1
13,OK,59,0.1391,5.1348,0.01,0.282609,0.44898,0.218905,0.294314,283.47,208.5
14,OK,15,0.9758,4.4068,0.56,0.274368,0.462366,0.21393,0.292517,264.96,208.2
15,OK,43,0.3639,6.6578,0.43,0.271429,0.428571,0.208955,0.280936,306.99,223.0
16,OK,64,0.8755,6.1962,0.51,0.249057,0.457447,0.21393,0.291525,283.45,221.9
17,OK,53,0.1626,6.9514,0.01,0.263736,0.43617,0.20398,0.277966,342.54,222.6
18,OK,57,0.3604,1.7181,0.01,0.282828,0.394958,0.233831,0.29375,240.98,201.0
19,OK,22,0.8798,4.4211,0.01,0.271429,0.453608,0.218905,0.295302,262.97,205.5
20,OK,37,0.6721,4.2835,0.01,0.276596,0.453608,0.218905,0.295302,299.99,206.2
21,OK,31,0.4197,7.0316,0.01,0.223938,0.487805,0.199005,0.282686,366.08,222.2
22,OK,52,0.943,6.8323,0.01,0.282686,0.44,0.218905,0.292359,301.49,221.6
23,OK,46,0.6715,5.8073,0.01,0.247191,0.477778,0.21393,0.295533,298.01,224.7
24,OK,23,0.2471,4.4151,0.56,0.266187,0.467391,0.21393,0.293515,275.99,209.4
25,OK,48,0.7193,2.9765,0.01,0.273616,0.394958,0.233831,0.29375,284.47,206.7
26,OK,28,0.8586,7.984,0.01,0.207469,0.581818,0.159204,0.25,331.05,224.9
27,OK,22,0.8396,8.2454,0.56,0.179592,0.552239,0.18408,0.276119,329.99,228.0
28,OK,33,0.341,2.8988,0.51,0.276817,0.439252,0.233831,0.305195,277.98,207.2
29,OK,44,0.8887,3.8321,0.56,0.27972,0.438776,0.21393,0.287625,256.5,204.6
30,OK,49,0.5493,8.9621,0.51,0.213992,0.5625,0.179104,0.271698,344.65,226.8
31,OK,49,0.513,3.3839,0.45,0.283871,0.375,0.238806,0.291793,263.45,205.5
32,OK,23,0.7705,5.8508,0.51,0.264706,0.457447,0.21393,0.291525,291.0,224.6
33,OK,55,0.6261,9.0804,0.46,0.225681,0.5,0.199005,0.284698,340.1,227.4
34,OK,33,0.4258,9.9759,0.01,0.153846,0.528302,0.139303,0.220472,348.04,222.4
35,OK,16,0.5586,1.8182,0.01,0.280488,0.387755,0.283582,0.327586,273.5,202.2
36,OK,11,0.875,2.3756,0.56,0.290541,0.436364,0.238806,0.308682,282.98,209.0
37,OK,18,0.8129,4.7994,0.43,0.288525,0.434426,0.263682,0.328173,290.0,207.9
38,OK,12,0.4463,6.363,0.01,0.216216,0.5,0.199005,0.284698,312.96,219.7
39,OK,37,0.5762,9.7397,0.51,0.225806,0.578125,0.18408,0.279245,362.61,223.6
40,OK,63,0.9482,7.1226,0.01,0.264808,0.46,0.228856,0.305648,337.03,222.9
41,OK,15,0.7135,5.8327,0.01,0.24812,0.476744,0.20398,0.285714,293.48,225.5
42,OK,25,0.7917,4.0616,0.47,0.279863,0.417391,0.238806,0.303797,261.46,206.3
43,OK,26,0.4913,5.0835,0.01,0.285714,0.434343,0.21393,0.286667,331.01,208.8
44,OK,54,0.8883,3.3705,0.56,0.281787,0.429907,0.228856,0.298701,274.98,206.1
45,OK,40,0.7858,5.5691,0.01,0.259259,0.477273,0.208955,0.290657,298.52,208.9
46,OK,14,0.8835,3.686,0.49,0.295302,0.398438,0.253731,0.31003,252.97,207.5
47,OK,48,0.5569,2.7902,0.44,0.28013,0.410853,0.263682,0.321212,252.96,207.2
48,OK,31,0.7863,5.8544,0.01,0.242424,0.47619,0.199005,0.280702,275.49,225.2
49,OK,57,0.9302,9.2664,0.51,0.196721,0.557377,0.169154,0.259542,349.55,223.1
50,OK,46,0.3917,1.1753,0.01,0.293103,0.363636,0.278607,0.315493,228.44,198.4
