config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.1,0.862595,0.78291,0.957627,0.861499,167.73,587.1
2,OK,GradientBoosting,164,6,0.2236,,,0.92,0.639098,0.955307,0.483051,0.641651,126.78,495.7
3,OK,SVM,,,,5.05055,balanced,0.74,0.924703,0.860406,0.957627,0.906417,127.14,586.0
4,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,99.02,495.4
5,OK,LogisticRegression,,,,0.00144,balanced,0.94,0.909091,0.839901,0.963277,0.897368,99.61,495.0
6,OK,GradientBoosting,169,18,0.1846,,,0.15,0.809969,0.913043,0.711864,0.8,136.48,493.5
7,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,98.71,494.7
8,OK,GradientBoosting,416,19,0.1317,,,0.01,0.932271,0.888021,0.963277,0.924119,190.45,492.6
9,OK,LogisticRegression,,,,0.88375,balanced,0.98,0.929427,0.889764,0.957627,0.922449,122.07,493.5
10,OK,GradientBoosting,407,15,0.1087,,,0.01,0.929427,0.887728,0.960452,0.922659,191.19,494.3
11,OK,GradientBoosting,160,12,0.0396,,,0.05,0.928191,0.887728,0.960452,0.922659,172.0,493.2
12,OK,LogisticRegression,,,,0.00304,none,0.38,0.921854,0.862944,0.960452,0.909091,101.55,496.0
13,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,99.49,497.5
14,OK,DecisionTree,,3,,,none,0.01,0.932271,0.890909,0.968927,0.928281,99.38,493.3
15,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,100.73,497.5
16,OK,RandomForest,243,4,,,none,0.42,0.934754,0.896825,0.957627,0.92623,103.4,492.8
17,OK,SVM,,,,1.23765,none,0.16,0.928382,0.866324,0.951977,0.907133,122.49,578.5
18,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,100.49,491.7
19,OK,GradientBoosting,410,4,0.0233,,,0.22,0.929801,0.888889,0.971751,0.928475,161.62,495.3
20,OK,GradientBoosting,445,11,0.2957,,,0.03,0.64794,0.940541,0.491525,0.64564,133.18,492.4
21,OK,GradientBoosting,493,5,0.1202,,,0.08,0.934754,0.888021,0.963277,0.924119,183.63,496.2
22,OK,LogisticRegression,,,,1.50807,none,0.44,0.935829,0.893782,0.974576,0.932432,138.28,490.9
23,OK,GradientBoosting,239,13,0.0708,,,0.08,0.932271,0.890625,0.966102,0.926829,187.96,491.5
24,OK,DecisionTree,,4,,,balanced,0.93,0.898848,0.813084,0.983051,0.890026,103.66,494.8
25,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,100.75,494.0
26,OK,SVM,,,,0.01675,none,0.05,0.874055,0.782609,0.966102,0.864728,172.05,586.6
27,OK,LogisticRegression,,,,0.02237,balanced,0.96,0.922061,0.867684,0.963277,0.912985,105.94,493.5
28,OK,SVM,,,,0.04182,balanced,0.29,0.915475,0.828916,0.971751,0.894668,418.7,612.9
29,OK,GradientBoosting,470,3,0.2435,,,0.82,0.620424,0.965517,0.474576,0.636364,157.4,495.8
30,OK,LogisticRegression,,,,0.02181,balanced,0.96,0.922061,0.867684,0.963277,0.912985,106.76,498.4
31,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,99.35,494.6
32,OK,SVM,,,,0.03744,none,0.1,0.884864,0.816867,0.957627,0.881664,144.78,582.6
33,OK,LogisticRegression,,,,26.51037,none,0.36,0.934754,0.891473,0.974576,0.931174,128.85,495.0
34,OK,GradientBoosting,185,6,0.0815,,,0.67,0.934754,0.893229,0.968927,0.929539,141.54,493.2
35,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,101.45,493.8
36,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,103.87,493.7
37,OK,DecisionTree,,20,,,none,0.01,0.928382,0.88601,0.966102,0.924324,100.7,494.0
38,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,101.9,492.5
39,OK,LogisticRegression,,,,0.06456,balanced,0.97,0.924503,0.875969,0.957627,0.91498,109.93,493.6
40,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,98.57,494.1
41,OK,LogisticRegression,,,,0.00285,balanced,0.92,0.912418,0.840686,0.968927,0.900262,103.5,493.7
42,OK,RandomForest,128,7,,,none,0.67,0.935829,0.898667,0.951977,0.924554,100.08,494.1
43,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,100.51,495.9
44,OK,RandomForest,247,14,,,none,0.54,0.934579,0.897368,0.963277,0.929155,102.52,495.5
45,OK,NaiveBayes,,,,,,1.0,0.888325,0.791855,0.988701,0.879397,100.82,493.5
46,OK,DecisionTree,,19,,,balanced,0.01,0.931727,0.887728,0.960452,0.922659,100.42,492.1
47,OK,SVM,,,,4.01429,none,0.35,0.934404,0.887701,0.937853,0.912088,118.25,578.1
48,OK,SVM,,,,0.05022,none,0.13,0.89295,0.826829,0.957627,0.887435,141.93,583.4
49,OK,LogisticRegression,,,,0.00618,balanced,0.94,0.914361,0.849383,0.971751,0.906456,102.73,494.8
50,OK,SVM,,,,23.94775,none,0.09,0.93725,0.876574,0.983051,0.926764,120.24,572.8
