config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.08,0.614815,0.680328,0.542484,0.603636,43.46,387.3
2,OK,GradientBoosting,164,6,0.2236,,,0.1,0.612903,0.580838,0.633987,0.60625,55.67,323.6
3,OK,SVM,,,,5.05055,balanced,0.23,0.608414,0.5875,0.614379,0.600639,91.94,500.8
4,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,34.93,317.2
5,OK,LogisticRegression,,,,0.00144,balanced,0.85,0.572391,0.608108,0.588235,0.598007,41.04,323.7
6,OK,GradientBoosting,169,18,0.1846,,,0.95,0.585185,0.65625,0.54902,0.597865,58.42,322.6
7,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.11,317.2
8,OK,GradientBoosting,416,19,0.1317,,,0.01,0.56129,0.497268,0.594771,0.541667,89.29,328.9
9,OK,LogisticRegression,,,,0.88375,balanced,0.97,0.636364,0.557377,0.666667,0.607143,57.99,315.3
10,OK,GradientBoosting,407,15,0.1087,,,0.14,0.562914,0.511765,0.568627,0.5387,85.12,323.8
11,OK,GradientBoosting,160,12,0.0396,,,0.91,0.589147,0.675439,0.503268,0.576779,74.89,317.8
12,OK,LogisticRegression,,,,0.00304,none,0.21,0.55303,0.642857,0.470588,0.543396,37.27,320.9
13,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,34.91,321.6
14,OK,DecisionTree,,3,,,none,0.22,0.603774,0.691667,0.542484,0.608059,35.08,322.2
15,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.01,321.6
16,OK,RandomForest,243,4,,,none,0.19,0.68942,0.711268,0.660131,0.684746,37.43,322.5
17,OK,SVM,,,,1.23765,none,0.05,0.618056,0.637037,0.562092,0.597222,44.19,400.6
18,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,34.78,316.7
19,OK,GradientBoosting,410,4,0.0233,,,0.4,0.673469,0.642384,0.633987,0.638158,70.28,319.9
20,OK,GradientBoosting,445,11,0.2957,,,0.67,0.609319,0.614865,0.594771,0.604651,65.93,318.6
21,OK,GradientBoosting,493,5,0.1202,,,0.23,0.671186,0.626667,0.614379,0.620462,86.77,320.2
22,OK,LogisticRegression,,,,1.50807,none,0.22,0.666667,0.595376,0.673203,0.631902,54.26,318.2
23,OK,GradientBoosting,239,13,0.0708,,,0.48,0.595588,0.651163,0.54902,0.595745,96.81,329.1
24,OK,DecisionTree,,4,,,balanced,0.93,0.573529,0.672269,0.522876,0.588235,34.64,321.9
25,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.66,321.5
26,OK,SVM,,,,0.01675,none,0.09,0.621212,0.710526,0.529412,0.606742,44.01,391.8
27,OK,LogisticRegression,,,,0.02237,balanced,0.94,0.624561,0.661538,0.562092,0.607774,46.43,323.1
28,OK,SVM,,,,0.04182,balanced,0.24,0.410646,0.5625,0.411765,0.475472,149.96,503.5
29,OK,GradientBoosting,470,3,0.2435,,,0.48,0.621212,0.757282,0.509804,0.609375,64.45,318.4
30,OK,LogisticRegression,,,,0.02181,balanced,0.9,0.625,0.567251,0.633987,0.598765,49.46,319.6
31,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.4,322.6
32,OK,SVM,,,,0.03744,none,0.05,0.618056,0.618705,0.562092,0.589041,44.19,395.2
33,OK,LogisticRegression,,,,26.51037,none,0.27,0.660131,0.595238,0.653595,0.623053,59.22,322.3
34,OK,GradientBoosting,185,6,0.0815,,,0.7,0.621723,0.698276,0.529412,0.60223,58.56,322.5
35,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,34.8,323.5
36,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.06,319.2
37,OK,DecisionTree,,20,,,none,0.76,0.525641,0.515152,0.555556,0.534591,35.46,321.1
38,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,34.87,321.5
39,OK,LogisticRegression,,,,0.06456,balanced,0.93,0.648148,0.555556,0.653595,0.600601,51.86,319.8
40,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.01,322.5
41,OK,LogisticRegression,,,,0.00285,balanced,0.89,0.600733,0.672269,0.522876,0.588235,41.51,323.9
42,OK,RandomForest,128,7,,,none,0.21,0.695925,0.679245,0.705882,0.692308,35.91,319.4
43,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.23,322.1
44,OK,RandomForest,247,14,,,none,0.29,0.703226,0.677019,0.712418,0.694268,37.57,324.5
45,OK,NaiveBayes,,,,,,1.0,0.466488,0.349398,0.568627,0.432836,35.27,321.2
46,OK,DecisionTree,,19,,,balanced,1.0,0.542751,0.614173,0.509804,0.557143,35.39,321.7
47,OK,SVM,,,,4.01429,none,0.13,0.622047,0.772277,0.509804,0.614173,43.44,396.9
48,OK,SVM,,,,0.05022,none,0.09,0.61597,0.716814,0.529412,0.609023,43.96,396.1
49,OK,LogisticRegression,,,,0.00618,balanced,0.89,0.611684,0.635036,0.568627,0.6,41.94,319.6
50,OK,SVM,,,,23.94775,none,0.03,0.628159,0.710744,0.562092,0.627737,43.09,388.2
