config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.1,0.690307,0.552846,0.669951,0.605791,13.0,392.1
2,OK,GradientBoosting,164,6,0.2236,,,0.5,0.712821,0.648241,0.635468,0.641791,9.98,390.5
3,OK,SVM,,,,5.05055,balanced,0.26,0.507006,0.320598,0.950739,0.479503,10.81,404.2
4,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.1,392.9
5,OK,LogisticRegression,,,,0.00144,balanced,0.7,0.698795,0.564103,0.650246,0.604119,9.6,393.6
6,OK,GradientBoosting,169,18,0.1846,,,0.5,0.690909,0.632124,0.600985,0.616162,10.88,392.0
7,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.16,394.9
8,OK,GradientBoosting,416,19,0.1317,,,0.4,0.691729,0.607306,0.655172,0.630332,16.24,392.6
9,OK,LogisticRegression,,,,0.88375,balanced,0.73,0.731707,0.599119,0.669951,0.632558,25.8,393.5
10,OK,GradientBoosting,407,15,0.1087,,,0.5,0.685714,0.629442,0.610837,0.62,15.07,394.0
11,OK,GradientBoosting,160,12,0.0396,,,0.46,0.693467,0.625592,0.650246,0.637681,14.94,395.0
12,OK,LogisticRegression,,,,0.00304,none,0.19,0.7109,0.560669,0.660099,0.606335,13.33,393.7
13,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.17,393.9
14,OK,DecisionTree,,3,,,none,0.43,0.705,0.606635,0.630542,0.618357,8.12,395.5
15,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.19,395.6
16,OK,RandomForest,243,4,,,none,0.51,0.723077,0.62069,0.62069,0.62069,8.69,394.9
17,OK,SVM,,,,1.23765,none,0.25,0.711111,0.588496,0.655172,0.620047,9.64,395.1
18,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.08,391.5
19,OK,GradientBoosting,410,4,0.0233,,,0.39,0.720195,0.614035,0.689655,0.649652,11.09,392.4
20,OK,GradientBoosting,445,11,0.2957,,,0.5,0.704663,0.637755,0.615764,0.626566,15.13,393.7
21,OK,GradientBoosting,493,5,0.1202,,,0.25,0.70283,0.60166,0.714286,0.653153,12.47,393.1
22,OK,LogisticRegression,,,,1.50807,none,0.36,0.733496,0.598214,0.660099,0.627635,29.72,395.7
23,OK,GradientBoosting,239,13,0.0708,,,0.4,0.681373,0.605381,0.665025,0.633803,11.66,395.9
24,OK,DecisionTree,,4,,,balanced,0.74,0.712195,0.58547,0.674877,0.627002,8.16,393.3
25,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.23,392.8
26,OK,SVM,,,,0.01675,none,0.1,0.690307,0.552846,0.669951,0.605791,9.77,395.3
27,OK,LogisticRegression,,,,0.02237,balanced,0.83,0.715365,0.59633,0.640394,0.617577,12.56,392.3
28,OK,SVM,,,,0.04182,balanced,0.41,0.691176,0.565789,0.635468,0.598608,11.58,411.5
29,OK,GradientBoosting,470,3,0.2435,,,0.4,0.694581,0.611111,0.704433,0.654462,10.93,394.6
30,OK,LogisticRegression,,,,0.02181,balanced,0.83,0.715365,0.59633,0.640394,0.617577,13.24,393.5
31,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.05,393.1
32,OK,SVM,,,,0.03744,none,0.08,0.690307,0.548387,0.669951,0.603104,10.02,392.4
33,OK,LogisticRegression,,,,26.51037,none,0.31,0.736077,0.593886,0.669951,0.62963,33.66,393.1
34,OK,GradientBoosting,185,6,0.0815,,,0.48,0.70202,0.629268,0.635468,0.632353,10.3,392.9
35,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.34,394.9
36,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.28,391.1
37,OK,DecisionTree,,20,,,none,0.4,0.684729,0.606335,0.660099,0.632075,8.4,394.7
38,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.34,392.9
39,OK,LogisticRegression,,,,0.06456,balanced,0.74,0.723301,0.590517,0.674877,0.629885,16.66,390.4
40,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.23,390.6
41,OK,LogisticRegression,,,,0.00285,balanced,0.58,0.7109,0.5625,0.665025,0.609481,10.19,392.5
42,OK,RandomForest,128,7,,,none,0.47,0.742424,0.617225,0.635468,0.626214,8.61,392.3
43,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,8.29,396.0
44,OK,RandomForest,247,14,,,none,0.49,0.729592,0.648241,0.635468,0.641791,9.38,394.1
45,OK,NaiveBayes,,,,,,0.01,0.496259,0.316045,0.960591,0.47561,10.43,392.5
46,OK,DecisionTree,,19,,,balanced,0.88,0.704301,0.668571,0.576355,0.619048,8.44,393.2
47,OK,SVM,,,,4.01429,none,0.22,0.711443,0.59009,0.64532,0.616471,10.09,393.5
48,OK,SVM,,,,0.05022,none,0.08,0.690307,0.548387,0.669951,0.603104,9.82,394.7
49,OK,LogisticRegression,,,,0.00618,balanced,0.63,0.714286,0.560669,0.660099,0.606335,10.75,392.6
50,OK,SVM,,,,23.94775,none,0.1,0.724138,0.582609,0.660099,0.618938,10.78,395.4
