config_id,status,base_model,loss_type,num_epochs,train_batch_size,learning_rate,warm_up_perc,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,sentence-transformers/all-distilroberta-v1,onlinecontrastive,1,32,2.607e-06,0.14,0.78,0.933962,0.911162,0.956938,0.933489,1469.6,9168.8
2,OK,sentence-transformers/all-MiniLM-L6-v2,onlinecontrastive,2,16,1.124e-06,0.219,0.68,0.902778,0.888383,0.933014,0.910152,861.47,3297.8
3,OK,sentence-transformers/all-distilroberta-v1,onlinecontrastive,1,32,2.369e-06,0.589,0.78,0.933962,0.911162,0.956938,0.933489,1474.61,9148.3
4,OK,sentence-transformers/all-MiniLM-L6-v2,onlinecontrastive,2,32,2.965e-06,0.215,0.81,0.920415,0.882483,0.952153,0.915995,907.97,5107.0
5,OK,sentence-transformers/all-MiniLM-L12-v2,onlinecontrastive,1,32,1.46e-06,0.847,0.8,0.916959,0.891892,0.947368,0.918794,956.94,8122.8
