config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.95,0.981818,0.979358,0.977117,0.978236,2.83,243.6
2,OK,GradientBoosting,164,6,0.2236,,,0.41,0.992018,0.997696,0.990847,0.994259,3.36,244.0
3,OK,SVM,,,,5.05055,balanced,0.52,0.985177,0.986175,0.979405,0.982778,2.89,245.4
4,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,244.2
5,OK,LogisticRegression,,,,0.00144,balanced,0.06,0.982974,0.975336,0.995423,0.985277,3.9,243.7
6,OK,GradientBoosting,169,18,0.1846,,,0.01,0.993182,0.997717,1.0,0.998857,3.75,244.5
7,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,244.2
8,OK,GradientBoosting,416,19,0.1317,,,0.41,0.993166,0.997696,0.990847,0.994259,5.9,244.4
9,OK,LogisticRegression,,,,0.88375,balanced,0.01,0.992054,0.988688,1.0,0.994312,6.45,245.3
10,OK,GradientBoosting,407,15,0.1087,,,0.41,0.994312,0.997706,0.995423,0.996564,5.34,239.2
11,OK,GradientBoosting,160,12,0.0396,,,0.01,0.993182,0.995434,0.997712,0.996571,3.38,242.2
12,OK,LogisticRegression,,,,0.00304,none,0.82,0.981818,0.977427,0.990847,0.984091,4.11,243.2
13,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,245.1
14,OK,DecisionTree,,3,,,none,0.01,0.993182,0.997717,1.0,0.998857,2.76,243.6
15,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,241.9
16,OK,RandomForest,243,4,,,none,0.63,0.994312,0.997717,1.0,0.998857,3.15,241.1
17,OK,SVM,,,,1.23765,none,0.97,0.985109,0.997664,0.977117,0.987283,2.84,244.8
18,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,240.9
19,OK,GradientBoosting,410,4,0.0233,,,0.42,0.994312,0.997701,0.993135,0.995413,4.05,245.4
20,OK,GradientBoosting,445,11,0.2957,,,0.01,0.993182,0.997712,0.997712,0.997712,5.31,242.5
21,OK,GradientBoosting,493,5,0.1202,,,0.41,0.993166,0.997706,0.995423,0.996564,4.38,243.8
22,OK,LogisticRegression,,,,1.50807,none,0.89,0.993151,1.0,0.997712,0.998855,8.27,242.5
23,OK,GradientBoosting,239,13,0.0708,,,0.01,0.992036,0.997701,0.993135,0.995413,3.6,243.5
24,OK,DecisionTree,,4,,,balanced,0.05,0.994286,0.995392,0.988558,0.991963,2.68,244.8
25,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.69,240.2
26,OK,SVM,,,,0.01675,none,0.95,0.98066,0.979358,0.977117,0.978236,2.77,243.7
27,OK,LogisticRegression,,,,0.02237,balanced,0.04,0.988662,0.986456,1.0,0.993182,4.19,244.1
28,OK,SVM,,,,0.04182,balanced,0.63,0.982974,0.979499,0.983982,0.981735,2.96,239.7
29,OK,GradientBoosting,470,3,0.2435,,,0.01,0.992036,0.995444,1.0,0.997717,3.7,241.3
30,OK,LogisticRegression,,,,0.02181,balanced,0.04,0.988662,0.986456,1.0,0.993182,4.34,244.4
31,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.68,242.2
32,OK,SVM,,,,0.03744,none,0.95,0.98066,0.979405,0.979405,0.979405,2.74,241.5
33,OK,LogisticRegression,,,,26.51037,none,0.68,0.994312,1.0,0.997712,0.998855,13.64,239.9
34,OK,GradientBoosting,185,6,0.0815,,,0.41,0.993166,0.997696,0.990847,0.994259,3.5,244.0
35,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.63,242.2
36,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,242.2
37,OK,DecisionTree,,20,,,none,0.01,0.992036,0.997701,0.993135,0.995413,2.75,242.0
38,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.75,243.7
39,OK,LogisticRegression,,,,0.06456,balanced,0.08,0.989761,0.99093,1.0,0.995444,5.47,244.6
40,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.73,241.7
41,OK,LogisticRegression,,,,0.00285,balanced,0.06,0.982974,0.975336,0.995423,0.985277,3.62,244.0
42,OK,RandomForest,128,7,,,none,0.64,0.994312,0.997717,1.0,0.998857,2.94,241.4
43,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.7,243.6
44,OK,RandomForest,247,14,,,none,0.61,0.995444,0.997706,0.995423,0.996564,3.13,243.7
45,OK,NaiveBayes,,,,,,0.01,0.986207,1.0,0.983982,0.991926,2.71,241.2
46,OK,DecisionTree,,19,,,balanced,0.01,0.990888,0.995423,0.995423,0.995423,2.73,241.5
47,OK,SVM,,,,4.01429,none,0.94,0.987457,0.990826,0.988558,0.989691,2.77,243.7
48,OK,SVM,,,,0.05022,none,0.95,0.98066,0.979405,0.979405,0.979405,2.77,242.4
49,OK,LogisticRegression,,,,0.00618,balanced,0.19,0.984055,0.993072,0.983982,0.988506,4.12,244.2
50,OK,SVM,,,,23.94775,none,0.79,0.992036,0.98861,0.993135,0.990868,2.78,241.9
