config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,SVM,,,,0.0036,none,0.97,0.609319,0.939759,0.408377,0.569343,335.06,711.5
2,OK,GradientBoosting,164,6,0.2236,,,0.05,0.619217,0.913043,0.439791,0.59364,218.55,711.8
3,OK,SVM,,,,5.05055,balanced,0.26,0.598639,0.77193,0.460733,0.577049,455.27,716.5
4,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.01,709.4
5,OK,LogisticRegression,,,,0.00144,balanced,0.95,0.520167,0.329181,0.968586,0.491368,157.42,709.9
6,OK,GradientBoosting,169,18,0.1846,,,0.06,0.527835,0.405573,0.685864,0.509728,213.5,712.1
7,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,154.18,709.2
8,OK,GradientBoosting,416,19,0.1317,,,0.24,0.585366,0.632258,0.513089,0.566474,292.5,713.2
9,OK,LogisticRegression,,,,0.88375,balanced,0.92,0.522222,0.335106,0.989529,0.500662,203.9,712.4
10,OK,GradientBoosting,407,15,0.1087,,,0.36,0.602597,0.609467,0.539267,0.572222,342.94,712.7
11,OK,GradientBoosting,160,12,0.0396,,,0.31,0.638978,0.76378,0.507853,0.610063,258.45,709.7
12,OK,LogisticRegression,,,,0.00304,none,0.3,0.617363,0.729508,0.465969,0.56869,158.77,711.6
13,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,153.46,711.9
14,OK,DecisionTree,,3,,,none,0.25,0.628975,0.912088,0.434555,0.588652,153.37,707.9
15,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.66,710.7
16,OK,RandomForest,243,4,,,none,0.27,0.647799,0.753846,0.513089,0.610592,165.34,713.0
17,OK,SVM,,,,1.23765,none,0.94,0.626335,0.952941,0.424084,0.586957,278.26,710.6
18,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.31,707.3
19,OK,GradientBoosting,410,4,0.0233,,,0.31,0.640777,0.765625,0.513089,0.61442,273.5,710.4
20,OK,GradientBoosting,445,11,0.2957,,,0.06,0.623288,0.877551,0.450262,0.595156,317.64,712.5
21,OK,GradientBoosting,493,5,0.1202,,,0.31,0.636364,0.76378,0.507853,0.610063,314.6,714.0
22,OK,LogisticRegression,,,,1.50807,none,0.26,0.63253,0.725191,0.497382,0.590062,186.03,712.0
23,OK,GradientBoosting,239,13,0.0708,,,0.31,0.636656,0.769841,0.507853,0.611987,246.49,710.4
24,OK,DecisionTree,,4,,,balanced,0.01,0.473815,0.300314,1.0,0.461911,155.83,710.9
25,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,154.95,712.3
26,OK,SVM,,,,0.01675,none,0.96,0.609319,0.928571,0.408377,0.567273,357.76,713.9
27,OK,LogisticRegression,,,,0.02237,balanced,0.87,0.522696,0.32526,0.984293,0.488947,166.52,713.8
28,OK,SVM,,,,0.04182,balanced,0.28,0.57971,0.9,0.424084,0.576512,1863.13,711.6
29,OK,GradientBoosting,470,3,0.2435,,,0.24,0.589928,0.942529,0.429319,0.589928,265.95,711.2
30,OK,LogisticRegression,,,,0.02181,balanced,0.87,0.522696,0.32526,0.984293,0.488947,167.66,708.4
31,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.92,712.6
32,OK,SVM,,,,0.03744,none,0.92,0.609319,0.928571,0.408377,0.567273,353.78,712.2
33,OK,LogisticRegression,,,,26.51037,none,0.27,0.633333,0.859813,0.481675,0.61745,208.4,709.6
34,OK,GradientBoosting,185,6,0.0815,,,0.31,0.645161,0.742188,0.497382,0.595611,222.14,709.3
35,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.5,716.8
36,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,156.07,713.4
37,OK,DecisionTree,,20,,,none,0.31,0.630225,0.744186,0.502618,0.6,153.89,711.5
38,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,154.88,711.6
39,OK,LogisticRegression,,,,0.06456,balanced,0.86,0.521978,0.326425,0.989529,0.490909,174.04,709.7
40,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,157.19,710.9
41,OK,LogisticRegression,,,,0.00285,balanced,0.95,0.520891,0.329787,0.973822,0.492715,160.24,712.5
42,OK,RandomForest,128,7,,,none,0.29,0.651757,0.753846,0.513089,0.610592,159.54,713.5
43,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,155.12,711.3
44,OK,RandomForest,247,14,,,none,0.31,0.651466,0.75969,0.513089,0.6125,161.53,715.6
45,OK,NaiveBayes,,,,,,0.01,0.5,0.317487,0.979058,0.479487,154.14,712.3
46,OK,DecisionTree,,19,,,balanced,1.0,0.624113,0.965909,0.445026,0.609319,154.47,712.6
47,OK,SVM,,,,4.01429,none,0.96,0.631206,0.954023,0.434555,0.597122,268.14,713.2
48,OK,SVM,,,,0.05022,none,0.93,0.611511,0.95122,0.408377,0.571429,340.99,712.8
49,OK,LogisticRegression,,,,0.00618,balanced,0.89,0.521262,0.324698,0.984293,0.488312,161.66,711.8
50,OK,SVM,,,,23.94775,none,0.43,0.628975,0.934066,0.445026,0.602837,278.18,712.1
