config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.88,0.337037,0.208191,0.958115,0.342056,225.8,5887.8
2,OK,3.204,0.914,True,0.83,0.337349,0.207526,0.95288,0.340824,228.85,5888.6
3,OK,7.0903,0.9892,True,0.87,0.337037,0.207955,0.958115,0.341737,218.95,5884.5
4,OK,6.3144,0.9032,True,0.76,0.337037,0.207955,0.958115,0.341737,240.22,5883.5
5,OK,2.9677,0.9505,True,0.97,0.336725,0.207719,0.958115,0.341418,222.8,5876.6
6,OK,6.0512,0.9716,False,0.77,0.337037,0.208191,0.958115,0.342056,226.5,5890.2
7,OK,2.984,0.9589,True,0.97,0.337037,0.208191,0.958115,0.342056,212.58,5876.7
8,OK,7.8293,0.916,False,0.87,0.337349,0.207526,0.95288,0.340824,218.6,5889.4
9,OK,4.0623,0.9155,False,0.92,0.337037,0.207955,0.958115,0.341737,220.03,5871.9
10,OK,1.9199,0.938,False,0.86,0.337349,0.208716,0.95288,0.342427,203.79,5872.5
11,OK,8.6274,0.9604,True,0.86,0.337349,0.208716,0.95288,0.342427,214.97,5875.3
12,OK,7.5676,0.9536,False,0.87,0.337037,0.208191,0.958115,0.342056,213.21,5886.8
13,OK,1.7092,0.9293,False,0.86,0.337037,0.208191,0.958115,0.342056,208.7,5879.6
14,OK,6.1962,0.9705,True,0.76,0.337037,0.207955,0.958115,0.341737,227.34,5885.6
15,OK,6.9514,0.9773,True,0.87,0.337037,0.207955,0.958115,0.341737,214.96,5882.3
16,OK,8.6979,0.9866,False,0.86,0.337349,0.208716,0.95288,0.342427,217.79,5878.4
17,OK,3.5018,0.9636,False,0.93,0.337037,0.207955,0.958115,0.341737,210.69,5884.7
18,OK,2.4639,0.9355,False,0.84,0.337037,0.208191,0.958115,0.342056,206.23,5871.7
19,OK,7.3164,0.9684,True,0.88,0.337349,0.208716,0.95288,0.342427,214.35,5878.7
20,OK,6.4822,0.9171,True,0.77,0.337349,0.207526,0.95288,0.340824,224.03,5890.1
21,OK,2.4706,0.9379,True,0.84,0.337037,0.208191,0.958115,0.342056,203.98,5871.3
22,OK,7.1615,0.9843,True,0.88,0.337349,0.207526,0.95288,0.340824,230.82,5889.8
23,OK,3.0614,0.9032,False,0.97,0.337349,0.208716,0.95288,0.342427,224.78,5882.3
24,OK,4.6105,0.9066,False,0.91,0.337037,0.207955,0.958115,0.341737,211.82,5874.7
25,OK,2.9136,0.9499,False,0.97,0.336725,0.207719,0.958115,0.341418,198.61,5887.1
26,OK,2.2858,0.914,False,0.9,0.336347,0.204846,0.973822,0.33849,200.08,5871.1
27,OK,7.7231,0.9428,False,0.87,0.337349,0.207526,0.95288,0.340824,221.28,5890.1
28,OK,4.258,0.9997,True,0.92,0.337037,0.208191,0.958115,0.342056,214.24,5879.5
29,OK,5.5857,0.9091,True,0.79,0.337349,0.208716,0.95288,0.342427,219.26,5885.3
30,OK,8.7499,0.9153,True,0.86,0.337349,0.208716,0.95288,0.342427,247.91,5885.7
31,OK,8.1287,0.9422,True,0.85,0.337037,0.207955,0.958115,0.341737,213.28,5876.5
32,OK,4.4629,0.9596,False,0.92,0.337037,0.207526,0.95288,0.340824,227.1,5877.7
33,OK,5.762,0.9971,True,0.77,0.337037,0.207955,0.958115,0.341737,210.05,5880.2
34,OK,7.1226,0.9115,False,0.87,0.337037,0.207955,0.958115,0.341737,200.17,5880.1
35,OK,7.9174,0.934,False,0.87,0.337349,0.208716,0.95288,0.342427,215.85,5875.7
36,OK,4.9129,0.9454,False,0.91,0.337037,0.208428,0.958115,0.342376,215.38,5881.8
37,OK,9.747,0.9762,True,0.73,0.337349,0.207526,0.95288,0.340824,213.36,5876.4
38,OK,8.8347,0.9298,True,0.86,0.337349,0.208716,0.95288,0.342427,218.21,5873.3
39,OK,2.3756,0.9763,True,0.84,0.337037,0.208191,0.958115,0.342056,222.72,5872.3
40,OK,6.3905,0.9489,True,0.76,0.337037,0.207955,0.958115,0.341737,232.13,5878.8
41,OK,9.3619,0.9879,False,0.85,0.337349,0.207526,0.95288,0.340824,215.97,5885.6
42,OK,3.1551,0.9241,True,0.83,0.337037,0.207526,0.95288,0.340824,204.24,5883.0
43,OK,1.7709,0.9486,True,0.86,0.337037,0.208428,0.958115,0.342376,215.57,5884.4
44,OK,9.8019,0.9533,True,0.73,0.337349,0.208716,0.95288,0.342427,219.37,5886.4
45,OK,2.1555,0.9475,True,0.91,0.336347,0.204846,0.973822,0.33849,209.42,5872.2
46,OK,3.3855,0.9872,False,0.82,0.337037,0.208191,0.958115,0.342056,207.82,5880.5
47,OK,9.6793,0.9929,True,0.73,0.337349,0.207526,0.95288,0.340824,202.71,5885.8
48,OK,7.4165,0.9399,False,0.88,0.337349,0.208716,0.95288,0.342427,229.51,5877.4
49,OK,4.9429,0.9518,True,0.91,0.337037,0.208428,0.958115,0.342376,215.18,5883.3
50,OK,3.2312,0.9064,True,0.83,0.337349,0.207526,0.95288,0.340824,191.63,5879.5
