config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.53,0.411899,0.324818,0.46114,0.381156,39.05,759.7
2,OK,3.204,0.914,True,0.7,0.393593,0.326923,0.440415,0.375276,37.37,753.9
3,OK,7.0903,0.9892,True,0.5,0.412148,0.303754,0.46114,0.366255,37.26,750.8
4,OK,6.3144,0.9032,True,0.55,0.410959,0.323636,0.46114,0.380342,51.03,755.1
5,OK,2.9677,0.9505,True,0.72,0.407159,0.317857,0.46114,0.376321,37.7,744.2
6,OK,6.0512,0.9716,False,0.56,0.414414,0.320144,0.46114,0.377919,39.37,749.2
7,OK,2.984,0.9589,True,0.72,0.407159,0.3213,0.46114,0.378723,42.03,753.5
8,OK,7.8293,0.916,False,0.49,0.4098,0.315603,0.46114,0.374737,39.26,754.8
9,OK,4.0623,0.9155,False,0.65,0.412698,0.32,0.455959,0.376068,39.08,754.5
10,OK,1.9199,0.938,False,0.82,0.390123,0.330612,0.419689,0.369863,39.02,745.8
11,OK,8.6274,0.9604,True,0.46,0.412556,0.315603,0.46114,0.374737,37.78,756.8
12,OK,7.5676,0.9536,False,0.5,0.41629,0.320144,0.46114,0.377919,39.66,760.0
13,OK,1.7092,0.9293,False,0.84,0.388889,0.330508,0.404145,0.363636,38.09,748.2
14,OK,6.1962,0.9705,True,0.55,0.413483,0.316726,0.46114,0.375527,37.96,755.7
15,OK,6.9514,0.9773,True,0.52,0.413483,0.317857,0.46114,0.376321,37.87,753.9
16,OK,8.6979,0.9866,False,0.46,0.41629,0.322464,0.46114,0.379531,39.7,755.7
17,OK,3.5018,0.9636,False,0.68,0.411765,0.323636,0.46114,0.380342,38.91,749.3
18,OK,2.4639,0.9355,False,0.76,0.403628,0.319853,0.450777,0.374194,39.38,752.8
19,OK,7.3164,0.9684,True,0.51,0.412698,0.323636,0.46114,0.380342,37.76,758.0
20,OK,6.4822,0.9171,True,0.54,0.40281,0.329502,0.445596,0.378855,38.3,758.4
21,OK,2.4706,0.9379,True,0.76,0.401826,0.317343,0.445596,0.37069,37.56,757.0
22,OK,7.1615,0.9843,True,0.51,0.411633,0.315603,0.46114,0.374737,38.43,755.5
23,OK,3.0614,0.9032,False,0.72,0.394161,0.337349,0.435233,0.38009,38.3,754.7
24,OK,4.6105,0.9066,False,0.6,0.415584,0.308475,0.471503,0.372951,38.05,756.3
25,OK,2.9136,0.9499,False,0.73,0.410835,0.322464,0.46114,0.379531,39.39,748.6
26,OK,2.2858,0.914,False,0.79,0.39604,0.331933,0.409326,0.366589,38.93,751.7
27,OK,7.7231,0.9428,False,0.5,0.410959,0.324818,0.46114,0.381156,38.89,758.8
28,OK,4.258,0.9997,True,0.62,0.417391,0.305842,0.46114,0.367769,37.62,753.5
29,OK,5.5857,0.9091,True,0.58,0.41629,0.3213,0.46114,0.378723,42.93,756.7
30,OK,8.7499,0.9153,True,0.46,0.41629,0.323636,0.46114,0.380342,37.84,757.9
31,OK,8.1287,0.9422,True,0.47,0.409586,0.306122,0.466321,0.36961,37.84,758.7
32,OK,4.4629,0.9596,False,0.62,0.414254,0.316726,0.46114,0.375527,38.77,756.5
33,OK,5.762,0.9971,True,0.57,0.413636,0.320144,0.46114,0.377919,38.1,754.8
34,OK,7.1226,0.9115,False,0.51,0.411633,0.315603,0.46114,0.374737,39.15,756.9
35,OK,7.9174,0.934,False,0.49,0.411633,0.317857,0.46114,0.376321,39.41,758.9
36,OK,4.9129,0.9454,False,0.6,0.419426,0.312281,0.46114,0.372385,38.98,759.4
37,OK,9.747,0.9762,True,0.44,0.411633,0.322581,0.466321,0.381356,38.13,757.2
38,OK,8.8347,0.9298,True,0.46,0.410959,0.326007,0.46114,0.381974,37.25,758.6
39,OK,2.3756,0.9763,True,0.76,0.39821,0.314079,0.450777,0.370213,36.55,753.3
40,OK,6.3905,0.9489,True,0.54,0.414254,0.31338,0.46114,0.373166,37.64,756.9
41,OK,9.3619,0.9879,False,0.44,0.410835,0.317857,0.46114,0.376321,39.08,756.4
42,OK,3.1551,0.9241,True,0.71,0.412698,0.324818,0.46114,0.381156,37.94,757.6
43,OK,1.7709,0.9486,True,0.83,0.389027,0.329218,0.414508,0.366972,37.02,750.5
44,OK,9.8019,0.9533,True,0.44,0.411633,0.322581,0.466321,0.381356,38.13,761.2
45,OK,2.1555,0.9475,True,0.79,0.394089,0.322449,0.409326,0.360731,37.32,755.1
46,OK,3.3855,0.9872,False,0.69,0.40991,0.3213,0.46114,0.378723,39.89,750.3
47,OK,9.6793,0.9929,True,0.45,0.410959,0.323529,0.455959,0.378495,37.78,762.0
48,OK,7.4165,0.9399,False,0.5,0.4098,0.315603,0.46114,0.374737,39.35,761.5
49,OK,4.9429,0.9518,True,0.6,0.423163,0.316726,0.46114,0.375527,38.42,755.8
50,OK,3.2312,0.9064,True,0.71,0.414747,0.327068,0.450777,0.379085,37.38,750.8
