config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.95,0.901445,0.862595,0.957627,0.907631,248.18,6670.4
2,OK,3.204,0.914,True,0.97,0.893229,0.856784,0.963277,0.906915,275.61,6670.2
3,OK,7.0903,0.9892,True,0.96,0.905013,0.863402,0.946328,0.902965,249.25,6664.2
4,OK,6.3144,0.9032,True,0.96,0.901445,0.862245,0.954802,0.906166,262.1,6665.5
5,OK,2.9677,0.9505,True,0.98,0.899083,0.862245,0.954802,0.906166,244.83,6671.9
6,OK,6.0512,0.9716,False,0.96,0.900262,0.862245,0.954802,0.906166,254.87,6663.0
7,OK,2.984,0.9589,True,0.98,0.899083,0.862245,0.954802,0.906166,243.43,6665.4
8,OK,7.8293,0.916,False,0.95,0.905013,0.863402,0.946328,0.902965,250.9,6680.0
9,OK,4.0623,0.9155,False,0.97,0.899083,0.860051,0.954802,0.904953,250.18,6684.4
10,OK,1.9199,0.938,False,0.98,0.896732,0.862595,0.957627,0.907631,228.09,6663.8
11,OK,8.6274,0.9604,True,0.95,0.905013,0.863049,0.943503,0.901484,264.49,6667.2
12,OK,7.5676,0.9536,False,0.96,0.905013,0.864935,0.940678,0.901218,237.76,6671.5
13,OK,1.7092,0.9293,False,0.98,0.895833,0.860406,0.957627,0.906417,232.34,6674.7
14,OK,6.1962,0.9705,True,0.96,0.901445,0.862245,0.954802,0.906166,251.12,6674.8
15,OK,6.9514,0.9773,True,0.96,0.905013,0.863402,0.946328,0.902965,254.0,6672.0
16,OK,8.6979,0.9866,False,0.95,0.905013,0.863049,0.943503,0.901484,239.89,6666.8
17,OK,3.5018,0.9636,False,0.97,0.895561,0.858586,0.960452,0.906667,244.4,6667.0
18,OK,2.4639,0.9355,False,0.98,0.897906,0.862245,0.954802,0.906166,240.05,6668.3
19,OK,7.3164,0.9684,True,0.96,0.905013,0.865285,0.943503,0.902703,251.71,6670.6
20,OK,6.4822,0.9171,True,0.96,0.900262,0.862245,0.954802,0.906166,288.12,6662.2
21,OK,2.4706,0.9379,True,0.98,0.897906,0.862245,0.954802,0.906166,253.28,6674.1
22,OK,7.1615,0.9843,True,0.96,0.905013,0.865285,0.943503,0.902703,241.56,6675.0
23,OK,3.0614,0.9032,False,0.97,0.893229,0.856784,0.963277,0.906915,229.95,6661.5
24,OK,4.6105,0.9066,False,0.97,0.899083,0.860051,0.954802,0.904953,252.96,6668.7
25,OK,2.9136,0.9499,False,0.98,0.899083,0.862245,0.954802,0.906166,242.3,6667.9
26,OK,2.2858,0.914,False,0.98,0.899083,0.862245,0.954802,0.906166,256.66,6673.7
27,OK,7.7231,0.9428,False,0.94,0.903821,0.86445,0.954802,0.907383,245.98,6682.1
28,OK,4.258,0.9997,True,0.97,0.899083,0.860051,0.954802,0.904953,247.9,6666.6
29,OK,5.5857,0.9091,True,0.96,0.897906,0.858942,0.963277,0.908123,276.69,6674.5
30,OK,8.7499,0.9153,True,0.95,0.906209,0.86423,0.935028,0.898236,262.56,6682.2
31,OK,8.1287,0.9422,True,0.95,0.905013,0.863402,0.946328,0.902965,252.14,6671.1
32,OK,4.4629,0.9596,False,0.97,0.899083,0.860051,0.954802,0.904953,239.7,6668.3
33,OK,5.762,0.9971,True,0.96,0.900262,0.862595,0.957627,0.907631,253.43,6663.8
34,OK,7.1226,0.9115,False,0.96,0.905013,0.863402,0.946328,0.902965,260.39,6671.1
35,OK,7.9174,0.934,False,0.95,0.905013,0.863402,0.946328,0.902965,237.64,6667.4
36,OK,4.9129,0.9454,False,0.96,0.897001,0.854637,0.963277,0.90571,246.67,6671.4
37,OK,9.747,0.9762,True,0.94,0.907407,0.871053,0.935028,0.901907,252.26,6667.6
38,OK,8.8347,0.9298,True,0.94,0.907407,0.875332,0.932203,0.902873,251.89,6674.4
39,OK,2.3756,0.9763,True,0.98,0.897906,0.862245,0.954802,0.906166,262.19,6667.8
40,OK,6.3905,0.9489,True,0.96,0.901445,0.862245,0.954802,0.906166,248.06,6670.9
41,OK,9.3619,0.9879,False,0.94,0.906209,0.868766,0.935028,0.90068,231.51,6671.5
42,OK,3.1551,0.9241,True,0.97,0.893229,0.856784,0.963277,0.906915,251.71,6673.9
43,OK,1.7709,0.9486,True,0.98,0.895833,0.862595,0.957627,0.907631,258.99,6663.8
44,OK,9.8019,0.9533,True,0.94,0.907407,0.871053,0.935028,0.901907,245.96,6681.3
45,OK,2.1555,0.9475,True,0.98,0.897906,0.862245,0.954802,0.906166,250.09,6663.3
46,OK,3.3855,0.9872,False,0.97,0.895561,0.858586,0.960452,0.906667,232.7,6667.1
47,OK,9.6793,0.9929,True,0.94,0.906209,0.868766,0.935028,0.90068,267.3,6665.1
48,OK,7.4165,0.9399,False,0.96,0.905013,0.865285,0.943503,0.902703,241.39,6668.3
49,OK,4.9429,0.9518,True,0.96,0.897001,0.854637,0.963277,0.90571,253.75,6657.5
50,OK,3.2312,0.9064,True,0.97,0.893229,0.856784,0.963277,0.906915,247.62,6661.6
