config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.13,0.418557,0.256997,0.995074,0.408493,289.16,5118.8
2,OK,3.204,0.914,True,0.24,0.471883,0.303514,0.935961,0.458384,298.53,5120.0
3,OK,7.0903,0.9892,True,0.13,0.418557,0.256997,0.995074,0.408493,302.23,5122.1
4,OK,6.3144,0.9032,True,0.0,0.230028,0.129962,1.0,0.230028,311.59,5129.9
5,OK,2.9677,0.9505,True,0.25,0.315217,0.177817,0.995074,0.301718,295.9,5116.4
6,OK,6.0512,0.9716,False,0.14,0.289793,0.163183,1.0,0.280581,284.21,5116.5
7,OK,2.984,0.9589,True,0.25,0.369091,0.222958,0.995074,0.364292,293.33,5123.4
8,OK,7.8293,0.916,False,0.13,0.418557,0.256997,0.995074,0.408493,291.22,5121.9
9,OK,4.0623,0.9155,False,0.0,0.230028,0.129962,1.0,0.230028,281.15,5126.3
10,OK,1.9199,0.938,False,0.52,0.473748,0.30303,0.935961,0.457831,282.72,5113.3
11,OK,8.6274,0.9604,True,0.13,0.418557,0.256997,0.995074,0.408493,298.46,5118.7
12,OK,7.5676,0.9536,False,0.13,0.418557,0.256997,0.995074,0.408493,284.33,5116.6
13,OK,1.7092,0.9293,False,0.58,0.473748,0.302548,0.935961,0.45728,290.87,5124.6
14,OK,6.1962,0.9705,True,0.14,0.445434,0.278736,0.955665,0.431591,301.18,5115.1
15,OK,6.9514,0.9773,True,0.13,0.418557,0.256997,0.995074,0.408493,308.12,5125.1
16,OK,8.6979,0.9866,False,0.13,0.418557,0.256997,0.995074,0.408493,289.73,5114.8
17,OK,3.5018,0.9636,False,0.22,0.307809,0.174399,1.0,0.297001,281.82,5127.5
18,OK,2.4639,0.9355,False,0.49,0.473748,0.30303,0.935961,0.457831,282.72,5130.0
19,OK,7.3164,0.9684,True,0.13,0.418557,0.256997,0.995074,0.408493,299.35,5115.8
20,OK,6.4822,0.9171,True,0.13,0.230813,0.130295,1.0,0.230551,301.63,5126.1
21,OK,2.4706,0.9379,True,0.49,0.473748,0.30303,0.935961,0.457831,291.2,5123.9
22,OK,7.1615,0.9843,True,0.13,0.418557,0.256997,0.995074,0.408493,323.17,5127.5
23,OK,3.0614,0.9032,False,0.0,0.230028,0.129962,1.0,0.230028,286.87,5120.6
24,OK,4.6105,0.9066,False,0.18,0.457008,0.290715,0.940887,0.444186,283.47,5123.6
25,OK,2.9136,0.9499,False,0.0,0.230028,0.129962,1.0,0.230028,283.47,5114.5
26,OK,2.2858,0.914,False,0.5,0.473748,0.302548,0.935961,0.45728,286.16,5112.9
27,OK,7.7231,0.9428,False,0.13,0.418557,0.256997,0.995074,0.408493,290.8,5117.7
28,OK,4.258,0.9997,True,0.19,0.414709,0.254408,0.995074,0.405216,297.44,5125.6
29,OK,5.5857,0.9091,True,0.15,0.294416,0.164773,1.0,0.282927,304.38,5118.0
30,OK,8.7499,0.9153,True,0.13,0.418557,0.256997,0.995074,0.408493,300.6,5128.7
31,OK,8.1287,0.9422,True,0.13,0.418557,0.256997,0.995074,0.408493,303.51,5131.3
32,OK,4.4629,0.9596,False,0.18,0.262613,0.147959,1.0,0.257778,281.92,5114.4
33,OK,5.762,0.9971,True,0.0,0.230028,0.129962,1.0,0.230028,313.56,5118.1
34,OK,7.1226,0.9115,False,0.13,0.418557,0.256997,0.995074,0.408493,294.11,5119.9
35,OK,7.9174,0.934,False,0.13,0.418557,0.256997,0.995074,0.408493,285.83,5119.3
36,OK,4.9129,0.9454,False,0.17,0.441501,0.276204,0.960591,0.429043,288.33,5128.7
37,OK,9.747,0.9762,True,0.13,0.418557,0.256997,0.995074,0.408493,303.42,5114.4
38,OK,8.8347,0.9298,True,0.13,0.418557,0.256997,0.995074,0.408493,298.72,5131.9
39,OK,2.3756,0.9763,True,0.5,0.473748,0.30303,0.935961,0.457831,298.71,5125.0
40,OK,6.3905,0.9489,True,0.0,0.230028,0.129962,1.0,0.230028,309.45,5128.0
41,OK,9.3619,0.9879,False,0.13,0.418557,0.256997,0.995074,0.408493,291.91,5120.9
42,OK,3.1551,0.9241,True,0.24,0.39001,0.237647,0.995074,0.383666,296.1,5132.0
43,OK,1.7709,0.9486,True,0.57,0.473748,0.303657,0.940887,0.459135,293.2,5118.2
44,OK,9.8019,0.9533,True,0.13,0.418557,0.256997,0.995074,0.408493,310.98,5115.9
45,OK,2.1555,0.9475,True,0.52,0.473748,0.30303,0.935961,0.457831,293.94,5124.8
46,OK,3.3855,0.9872,False,0.23,0.473748,0.30303,0.935961,0.457831,282.98,5116.2
47,OK,9.6793,0.9929,True,0.13,0.418557,0.256997,0.995074,0.408493,314.85,5129.0
48,OK,7.4165,0.9399,False,0.13,0.418557,0.256997,0.995074,0.408493,290.12,5117.5
49,OK,4.9429,0.9518,True,0.17,0.457008,0.290715,0.940887,0.444186,298.56,5117.6
50,OK,3.2312,0.9064,True,0.0,0.230028,0.129962,1.0,0.230028,301.67,5113.9
