config_id,status,neg_ratio,recall,index_predicates,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,6.7548,0.9025,False,0.46,0.896552,0.929412,0.944976,0.937129,538.02,7868.8
2,OK,3.204,0.914,True,0.69,0.90012,0.94431,0.933014,0.938628,492.62,7878.1
3,OK,7.0903,0.9892,True,0.46,0.896552,0.929412,0.944976,0.937129,497.88,7914.2
4,OK,6.3144,0.9032,True,0.46,0.896552,0.929412,0.944976,0.937129,559.79,7861.0
5,OK,2.9677,0.9505,True,0.7,0.90012,0.942169,0.935407,0.938776,714.37,7895.1
6,OK,6.0512,0.9716,False,0.46,0.896552,0.929412,0.944976,0.937129,524.57,7870.0
7,OK,2.984,0.9589,True,0.7,0.90012,0.942169,0.935407,0.938776,632.86,7876.6
8,OK,7.8293,0.916,False,0.46,0.896552,0.929412,0.944976,0.937129,538.92,7880.2
9,OK,4.0623,0.9155,False,0.66,0.897467,0.948655,0.92823,0.938331,519.78,7874.7
10,OK,1.9199,0.938,False,0.74,0.900599,0.933333,0.937799,0.935561,519.99,7865.6
11,OK,8.6274,0.9604,True,0.46,0.896552,0.929412,0.944976,0.937129,651.22,7869.4
12,OK,7.5676,0.9536,False,0.46,0.896552,0.929412,0.944976,0.937129,502.33,7899.9
13,OK,1.7092,0.9293,False,0.75,0.899522,0.929245,0.942584,0.935867,540.71,7863.9
14,OK,6.1962,0.9705,True,0.46,0.896552,0.929412,0.944976,0.937129,510.02,7894.1
15,OK,6.9514,0.9773,True,0.46,0.896552,0.929412,0.944976,0.937129,486.24,7904.8
16,OK,8.6979,0.9866,False,0.46,0.896552,0.929412,0.944976,0.937129,529.49,7880.4
17,OK,3.5018,0.9636,False,0.67,0.90012,0.944444,0.935407,0.939904,533.87,7871.2
18,OK,2.4639,0.9355,False,0.74,0.90012,0.941889,0.930622,0.936221,538.65,7884.0
19,OK,7.3164,0.9684,True,0.46,0.896552,0.929412,0.944976,0.937129,601.3,7887.8
20,OK,6.4822,0.9171,True,0.46,0.896552,0.929412,0.944976,0.937129,524.27,7858.3
21,OK,2.4706,0.9379,True,0.74,0.90012,0.941889,0.930622,0.936221,700.43,7896.6
22,OK,7.1615,0.9843,True,0.46,0.896552,0.929412,0.944976,0.937129,510.14,7868.5
23,OK,3.0614,0.9032,False,0.69,0.899038,0.942169,0.935407,0.938776,569.74,7871.9
24,OK,4.6105,0.9066,False,0.67,0.896719,0.955446,0.923445,0.939173,464.23,7910.8
25,OK,2.9136,0.9499,False,0.71,0.90012,0.942169,0.935407,0.938776,491.49,7868.5
26,OK,2.2858,0.914,False,0.7,0.899522,0.933492,0.940191,0.93683,455.93,7873.3
27,OK,7.7231,0.9428,False,0.46,0.896552,0.929412,0.944976,0.937129,467.24,7870.7
28,OK,4.258,0.9997,True,0.63,0.896635,0.946341,0.92823,0.937198,454.49,7875.4
29,OK,5.5857,0.9091,True,0.46,0.896552,0.929412,0.944976,0.937129,459.71,7899.0
30,OK,8.7499,0.9153,True,0.46,0.896552,0.929412,0.944976,0.937129,452.99,7877.4
31,OK,8.1287,0.9422,True,0.46,0.896552,0.929412,0.944976,0.937129,641.93,7878.1
32,OK,4.4629,0.9596,False,0.67,0.896719,0.955446,0.923445,0.939173,484.2,7882.1
