config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.33,0.373541,0.676923,0.230366,0.34375,78.97,3495.7
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.22,0.617711,0.514184,0.759162,0.613108,75.41,2922.2
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.16,0.623529,0.75,0.534031,0.623853,75.09,2956.8
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.23,0.595661,0.45045,0.78534,0.572519,80.69,3509.7
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.04,0.75,0.849057,0.706806,0.771429,61.84,2933.4
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.19,0.672489,0.535581,0.748691,0.624454,71.64,2949.6
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.743405,0.641667,0.806283,0.714617,59.79,2934.2
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.228311,0.892857,0.13089,0.228311,56.48,2931.5
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.22,0.633833,0.530909,0.764398,0.626609,153.02,2928.2
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.14,0.48951,0.72043,0.350785,0.471831,171.94,2942.7
11,OK,0.8623,CardinalityEdgePruning,ECBS,tf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.737089,0.635628,0.82199,0.716895,148.0,2926.7
12,OK,0.5957,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.136585,1.0,0.036649,0.070707,58.12,2932.2
13,OK,0.611,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.080402,1.0,0.010471,0.020725,128.02,2931.3
14,OK,0.9488,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.05,0.730769,0.645833,0.811518,0.719258,62.8,2933.2
15,OK,0.5688,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.04,0.439024,0.625,0.314136,0.418118,58.99,2926.2
16,OK,0.7381,CardinalityNodePruning,CNJ,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.31,0.610272,0.695652,0.586387,0.636364,82.65,3508.0
17,OK,0.6321,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.0,0.748201,0.640496,0.811518,0.715935,65.02,2929.0
18,OK,0.7285,CardinalityNodePruning,EJS,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.466165,0.881356,0.272251,0.416,57.74,2936.5
19,OK,0.7427,CardinalityEdgePruning,JS,boolean,cosine,char_tokenizer,4,UniqueMappingClustering,0.19,0.393846,0.46087,0.277487,0.346405,66.03,2944.7
20,OK,0.9181,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.23,0.600398,0.438806,0.769634,0.558935,84.49,3511.5
21,OK,0.5385,CardinalityEdgePruning,X2,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.2,0.485207,0.482517,0.361257,0.413174,70.8,2927.3
22,OK,0.9261,CardinalityEdgePruning,COSINE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.154589,1.0,0.057592,0.108911,56.53,2932.7
23,OK,0.8208,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,UniqueMappingClustering,0.0,0.154589,1.0,0.057592,0.108911,57.85,2934.1
24,OK,0.6011,CardinalityNodePruning,SN-CBS,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.22,0.654867,0.535433,0.712042,0.611236,69.36,2932.5
25,OK,0.8185,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,UniqueMappingClustering,0.21,0.628297,0.589212,0.743455,0.657407,74.07,3497.4
26,OK,0.5319,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.080402,1.0,0.010471,0.020725,53.7,2928.9
27,OK,0.8255,CardinalityEdgePruning,X2,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.467433,0.852459,0.272251,0.412698,57.22,2934.1
28,OK,0.5424,CardinalityNodePruning,CNJ,boolean,cosine,word_tokenizer,4,UniqueMappingClustering,0.0,0.195349,1.0,0.089005,0.163462,55.4,2941.5
29,OK,0.8887,CardinalityNodePruning,CNJ,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.28,0.561194,0.621212,0.429319,0.50774,88.11,3502.5
30,OK,0.6119,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.466165,0.881356,0.272251,0.416,56.67,2936.1
31,OK,0.7082,CardinalityNodePruning,CNC,tfidf,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.05,0.771831,0.841463,0.722513,0.777465,59.89,2931.0
32,OK,0.936,CardinalityEdgePruning,COSINE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.16,0.679825,0.574713,0.78534,0.663717,66.59,2948.8
33,OK,0.8891,CardinalityNodePruning,SNJ,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.16,0.623158,0.524823,0.774869,0.625793,66.31,2975.8
34,OK,0.9169,CardinalityEdgePruning,EJS,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.154589,1.0,0.052356,0.099502,57.25,2934.1
35,OK,0.6335,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.2,0.621277,0.52809,0.73822,0.615721,68.04,2957.3
36,OK,0.7263,CardinalityEdgePruning,CBS,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.35,0.398467,0.708333,0.267016,0.387833,70.48,3509.2
37,OK,0.5308,CardinalityEdgePruning,DICE,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.14,0.384615,0.407143,0.298429,0.344411,62.19,2970.8
38,OK,0.7605,CardinalityEdgePruning,X2,tfidf,cosine,char_tokenizer,5,UniqueMappingClustering,0.16,0.676991,0.588933,0.780105,0.671171,71.95,2973.1
39,OK,0.8014,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.15,0.663934,0.508039,0.827225,0.629482,68.47,2948.5
40,OK,0.7058,CardinalityNodePruning,CNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.14,0.655172,0.69186,0.623037,0.655647,74.64,2978.1
41,OK,0.7276,CardinalityEdgePruning,CBS,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.04,0.482759,0.677083,0.340314,0.452962,61.93,2927.5
42,OK,0.571,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.04,0.435798,0.833333,0.287958,0.428016,57.45,2927.5
43,OK,0.619,CardinalityNodePruning,SN-CBS,tfidf,cosine,char_tokenizer,4,UniqueMappingClustering,0.2,0.619355,0.522388,0.732984,0.610022,68.46,2956.4
44,OK,0.5916,CardinalityNodePruning,SNC,boolean,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.0,0.154589,1.0,0.057592,0.108911,55.31,2937.3
45,OK,0.7854,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.23,0.59481,0.437126,0.764398,0.55619,78.82,3507.9
