config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.77,0.541401,0.544643,0.300493,0.387302,52.02,3820.9
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.63,0.697674,0.537849,0.665025,0.594714,57.83,3304.2
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.59,0.717073,0.575221,0.640394,0.606061,53.46,3347.5
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.65,0.720174,0.538206,0.79803,0.642857,64.2,3833.2
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.38,0.733333,0.595918,0.719212,0.651786,43.97,3318.4
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.65,0.721698,0.553785,0.684729,0.612335,57.28,3338.7
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.37,0.717949,0.552632,0.724138,0.626866,43.37,3314.3
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.0,0.553846,0.584746,0.339901,0.429907,36.45,3319.3
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.67,0.719807,0.548387,0.669951,0.603104,56.54,3313.2
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.65,0.618076,0.576159,0.428571,0.491525,45.61,3324.8
