config_id,status,ratio,comparison_cleaner,weighting_scheme,vectorizer,metric,tokenizer,qgram,clusterer,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,0.6102,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.73,0.514523,0.790698,0.444444,0.569038,403.27,12072.1
2,OK,0.5422,CardinalityNodePruning,CN-CBS,tfidf,cosine,char_tokenizer,3,UniqueMappingClustering,0.57,0.648501,0.566327,0.72549,0.636103,338.2,11851.5
3,OK,0.7652,CardinalityNodePruning,SNC,tfidf,cosine,char_tokenizer,5,ConnectedComponentsClustering,0.41,0.534979,0.755319,0.464052,0.574899,392.69,9897.4
4,OK,0.5969,CardinalityNodePruning,CND,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.73,0.553073,0.513514,0.620915,0.56213,444.52,12099.0
5,OK,0.8814,CardinalityNodePruning,SN-CBS,boolean,cosine,word_tokenizer,2,ConnectedComponentsClustering,0.2,0.417778,0.577465,0.267974,0.366071,264.56,9779.8
6,OK,0.9379,CardinalityNodePruning,EJS,tf,cosine,char_tokenizer,4,UniqueMappingClustering,0.53,0.637931,0.525773,0.666667,0.587896,404.68,10202.5
7,OK,0.5206,CardinalityNodePruning,SNC,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.21,0.517241,0.489583,0.614379,0.544928,163.01,9743.4
8,OK,0.6711,CardinalityEdgePruning,DICE,tf,cosine,word_tokenizer,3,UniqueMappingClustering,0.06,0.462687,0.393365,0.542484,0.456044,146.81,9762.4
9,OK,0.8016,CardinalityNodePruning,SND,boolean,cosine,char_tokenizer,3,UniqueMappingClustering,0.48,0.586207,0.464435,0.72549,0.566327,386.81,11909.7
10,OK,0.6708,CardinalityEdgePruning,ECBS,boolean,cosine,char_tokenizer,4,ConnectedComponentsClustering,0.42,0.461538,0.614286,0.281046,0.38565,290.44,10171.1
11,OK,0.8623,CardinalityEdgePruning,ECBS,tf,cosine,word_tokenizer,2,UniqueMappingClustering,0.15,0.519231,0.390625,0.653595,0.488998,198.6,9743.6
12,OK,0.5957,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.08,0.274112,0.674419,0.189542,0.295918,166.99,9754.2
13,OK,0.611,CardinalityEdgePruning,JS,boolean,cosine,word_tokenizer,5,UniqueMappingClustering,0.06,0.344,0.520408,0.333333,0.406375,129.26,9757.9
14,OK,0.9488,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.21,0.522989,0.487562,0.640523,0.553672,235.58,9778.5
15,OK,0.5688,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.21,0.517647,0.475,0.620915,0.538244,157.75,9733.8
16,OK,0.7381,CardinalityNodePruning,CNJ,boolean,cosine,char_tokenizer,2,ConnectedComponentsClustering,0.71,0.438017,0.636364,0.320261,0.426087,477.8,12124.2
17,OK,0.6321,CardinalityNodePruning,SND,tfidf,cosine,word_tokenizer,2,UniqueMappingClustering,0.21,0.517241,0.474747,0.614379,0.535613,170.8,9746.8
18,OK,0.7285,CardinalityNodePruning,EJS,tfidf,cosine,word_tokenizer,3,UniqueMappingClustering,0.06,0.479381,0.417476,0.562092,0.479109,168.15,9798.3
19,OK,0.7427,CardinalityEdgePruning,JS,boolean,cosine,char_tokenizer,4,UniqueMappingClustering,0.42,0.603774,0.484163,0.699346,0.572193,277.89,10170.6
20,OK,0.9181,CardinalityNodePruning,CN-CBS,tf,cosine,char_tokenizer,2,UniqueMappingClustering,0.73,0.554348,0.515957,0.633987,0.568915,560.12,12128.5
21,OK,0.5385,CardinalityEdgePruning,X2,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.61,0.618911,0.535519,0.640523,0.583333,338.45,11869.3
22,OK,0.9261,CardinalityEdgePruning,COSINE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.09,0.27551,0.707317,0.189542,0.298969,152.45,9764.3
23,OK,0.8208,CardinalityEdgePruning,X2,tf,cosine,word_tokenizer,5,UniqueMappingClustering,0.06,0.333333,0.515152,0.333333,0.404762,242.66,9761.1
24,OK,0.6011,CardinalityNodePruning,SN-CBS,tf,cosine,char_tokenizer,3,UniqueMappingClustering,0.61,0.634561,0.529101,0.653595,0.584795,345.35,11883.3
25,OK,0.8185,CardinalityEdgePruning,CBS,tfidf,cosine,char_tokenizer,2,UniqueMappingClustering,0.69,0.622857,0.574713,0.653595,0.611621,444.59,12085.0
26,OK,0.5319,CardinalityEdgePruning,DICE,tfidf,cosine,word_tokenizer,5,ConnectedComponentsClustering,0.09,0.27551,0.7,0.183007,0.290155,127.49,9754.9
27,OK,0.8255,CardinalityEdgePruning,X2,boolean,cosine,word_tokenizer,3,UniqueMappingClustering,0.06,0.470284,0.395349,0.555556,0.461957,261.38,9771.2
28,OK,0.5424,CardinalityNodePruning,CNJ,boolean,cosine,word_tokenizer,4,UniqueMappingClustering,0.0,0.412903,0.45098,0.45098,0.45098,140.52,9770.9
