config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
20,OK,LogisticRegression,,,,0.46849,balanced,0.74,0.734694,0.616505,0.625616,0.621027,3.85,215.2
21,OK,LogisticRegression,,,,0.20479,none,0.31,0.732824,0.614634,0.62069,0.617647,3.59,215.6
22,OK,GradientBoosting,402,19,0.0737,,,0.9,0.752475,0.630631,0.689655,0.658824,5.83,214.9
23,OK,RandomForest,481,3,,,balanced,0.81,0.736573,0.62439,0.630542,0.627451,3.84,213.7
24,OK,LogisticRegression,,,,10.59812,none,0.37,0.772616,0.632743,0.704433,0.666667,5.59,217.5
25,OK,RandomForest,83,8,,,none,0.4,0.772616,0.626087,0.70936,0.665127,2.97,218.0
26,OK,LogisticRegression,,,,1.89319,none,0.2,0.735632,0.562016,0.714286,0.629067,4.36,216.8
27,OK,GradientBoosting,284,6,0.0868,,,0.62,0.756757,0.624454,0.704433,0.662037,4.38,214.5
28,OK,LogisticRegression,,,,5.30817,none,0.34,0.770732,0.629956,0.704433,0.665116,4.98,218.9
29,OK,GradientBoosting,349,15,0.2704,,,0.88,0.758794,0.633484,0.689655,0.660377,5.55,214.6
30,OK,RandomForest,235,9,,,balanced,0.59,0.739018,0.639024,0.64532,0.642157,3.24,215.3
31,OK,GradientBoosting,302,4,0.2292,,,0.56,0.726804,0.631579,0.650246,0.640777,3.99,216.4
32,OK,LogisticRegression,,,,0.00581,balanced,0.65,0.692308,0.552743,0.64532,0.595455,3.04,215.1
33,OK,GradientBoosting,266,4,0.1216,,,0.56,0.761671,0.628821,0.70936,0.666667,3.88,217.0
34,OK,GradientBoosting,289,18,0.0829,,,0.88,0.74938,0.632287,0.694581,0.661972,4.42,214.8
35,OK,GradientBoosting,490,2,0.2073,,,0.87,0.717678,0.638614,0.635468,0.637037,3.94,216.9
36,OK,LogisticRegression,,,,2.56184,none,0.23,0.765133,0.618026,0.70936,0.66055,4.85,215.7
37,OK,GradientBoosting,224,5,0.0951,,,0.87,0.758105,0.629464,0.694581,0.660422,3.92,215.6
38,OK,LogisticRegression,,,,0.18562,none,0.31,0.732824,0.612745,0.615764,0.614251,3.58,217.4
39,OK,GradientBoosting,440,7,0.1572,,,0.88,0.721053,0.634146,0.640394,0.637255,5.46,218.0
40,OK,LogisticRegression,,,,22.52127,none,0.42,0.771499,0.631111,0.699507,0.663551,6.2,217.7
41,OK,GradientBoosting,309,8,0.0543,,,0.56,0.75,0.621145,0.694581,0.655814,4.92,217.8
42,OK,LogisticRegression,,,,0.49762,balanced,0.74,0.732824,0.618357,0.630542,0.62439,3.93,216.5
43,OK,GradientBoosting,215,17,0.0156,,,0.61,0.746341,0.622807,0.699507,0.658933,3.96,217.0
44,OK,RandomForest,499,11,,,balanced,0.6,0.735751,0.640394,0.640394,0.640394,3.75,218.8
45,OK,LogisticRegression,,,,0.01601,balanced,0.63,0.693976,0.556485,0.655172,0.60181,3.26,218.0
46,OK,LogisticRegression,,,,4.56602,balanced,0.63,0.768116,0.618026,0.70936,0.66055,5.25,213.0
47,OK,GradientBoosting,442,6,0.0472,,,0.76,0.755556,0.621145,0.694581,0.655814,5.44,216.7
48,OK,RandomForest,331,7,,,none,0.34,0.770732,0.619658,0.714286,0.663616,3.52,217.5
49,OK,GradientBoosting,496,15,0.2897,,,0.88,0.761905,0.636771,0.699507,0.666667,6.71,215.5
50,OK,GradientBoosting,436,8,0.2168,,,0.89,0.76,0.629464,0.694581,0.660422,5.68,216.3
