config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.79,0.756219,0.632287,0.694581,0.661972,3.05,215.4
2,OK,LogisticRegression,,,,0.01306,balanced,0.64,0.693976,0.556485,0.655172,0.60181,3.17,217.1
3,OK,GradientBoosting,429,19,0.0352,,,0.68,0.743842,0.617778,0.684729,0.649533,5.07,217.7
4,OK,RandomForest,66,2,,,balanced,0.81,0.708661,0.614213,0.596059,0.605,2.87,216.4
5,OK,LogisticRegression,,,,0.01456,balanced,0.64,0.693976,0.558824,0.655172,0.603175,3.23,215.7
6,OK,GradientBoosting,151,19,0.1317,,,0.88,0.747525,0.629464,0.694581,0.660422,3.49,216.4
7,OK,RandomForest,351,10,,,balanced,0.6,0.739018,0.637255,0.640394,0.638821,3.5,214.3
8,OK,LogisticRegression,,,,3.09526,none,0.24,0.765133,0.618026,0.70936,0.66055,6.33,216.2
9,OK,RandomForest,129,8,,,none,0.43,0.776413,0.629956,0.704433,0.665116,3.81,218.1
10,OK,LogisticRegression,,,,0.00291,balanced,0.6,0.692124,0.556017,0.660099,0.603604,4.33,215.0
11,OK,RandomForest,483,13,,,none,0.42,0.771499,0.625551,0.699507,0.660465,3.86,221.2
12,OK,LogisticRegression,,,,4.45306,balanced,0.63,0.768116,0.618026,0.70936,0.66055,5.01,216.2
13,OK,RandomForest,90,19,,,none,0.43,0.773399,0.629956,0.704433,0.665116,3.05,218.7
14,OK,GradientBoosting,366,13,0.1774,,,0.88,0.761905,0.632287,0.694581,0.661972,5.87,215.9
15,OK,GradientBoosting,85,3,0.2018,,,0.56,0.759804,0.624454,0.704433,0.662037,3.02,217.2
16,OK,RandomForest,90,9,,,balanced,0.59,0.739018,0.639024,0.64532,0.642157,2.93,215.4
17,OK,RandomForest,192,16,,,none,0.44,0.775309,0.628319,0.699507,0.662005,3.17,219.1
18,OK,LogisticRegression,,,,0.07094,balanced,0.79,0.704961,0.612245,0.591133,0.601504,3.51,217.0
19,OK,GradientBoosting,186,4,0.1866,,,0.87,0.725849,0.643902,0.650246,0.647059,3.55,215.4
