config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.07,0.995444,0.997717,1.0,0.998857,1.75,193.8
2,OK,LogisticRegression,,,,0.01306,balanced,0.46,0.993166,0.995444,1.0,0.997717,1.84,194.5
3,OK,GradientBoosting,429,19,0.0352,,,0.01,0.994299,0.997717,1.0,0.998857,2.3,197.8
4,OK,RandomForest,66,2,,,balanced,0.21,0.992036,0.99093,1.0,0.995444,1.75,199.3
5,OK,LogisticRegression,,,,0.01456,balanced,0.46,0.993166,0.997717,1.0,0.998857,1.86,197.7
6,OK,GradientBoosting,151,19,0.1317,,,0.01,0.994299,0.997717,1.0,0.998857,1.87,196.5
7,OK,RandomForest,351,10,,,balanced,0.49,0.995444,0.997717,1.0,0.998857,2.24,201.7
8,OK,LogisticRegression,,,,3.09526,none,0.52,0.993182,0.995444,1.0,0.997717,2.49,199.4
9,OK,RandomForest,129,8,,,none,0.69,0.996579,0.997717,1.0,0.998857,1.9,196.5
10,OK,LogisticRegression,,,,0.00291,balanced,0.5,0.993166,0.997717,1.0,0.998857,1.89,196.1
11,OK,RandomForest,483,13,,,none,0.72,0.996579,0.997717,1.0,0.998857,2.49,195.5
12,OK,LogisticRegression,,,,4.45306,balanced,0.02,0.993182,0.99093,1.0,0.995444,2.65,197.0
13,OK,RandomForest,90,19,,,none,0.51,0.995444,0.997717,1.0,0.998857,1.86,196.2
14,OK,GradientBoosting,366,13,0.1774,,,0.01,0.994299,0.997717,1.0,0.998857,2.42,198.4
15,OK,GradientBoosting,85,3,0.2018,,,0.07,0.995444,0.995444,1.0,0.997717,1.79,198.6
16,OK,RandomForest,90,9,,,balanced,0.48,0.995444,0.997717,1.0,0.998857,1.86,198.6
17,OK,RandomForest,192,16,,,none,0.68,0.996579,0.997717,1.0,0.998857,2.02,196.5
18,OK,LogisticRegression,,,,0.07094,balanced,0.36,0.993166,0.995444,1.0,0.997717,2.09,195.1
19,OK,GradientBoosting,186,4,0.1866,,,0.01,0.995444,0.995444,1.0,0.997717,1.95,195.4
20,OK,LogisticRegression,,,,0.46849,balanced,0.2,0.993166,0.997717,1.0,0.998857,2.38,196.1
21,OK,LogisticRegression,,,,0.20479,none,0.85,0.993166,0.997717,1.0,0.998857,2.15,197.6
22,OK,GradientBoosting,402,19,0.0737,,,0.05,0.994299,0.997717,1.0,0.998857,2.51,198.2
23,OK,RandomForest,481,3,,,balanced,0.16,0.993182,0.99093,1.0,0.995444,2.41,198.1
24,OK,LogisticRegression,,,,10.59812,none,0.35,0.993182,0.993182,1.0,0.996579,2.56,198.4
25,OK,RandomForest,83,8,,,none,0.69,0.996579,0.997717,1.0,0.998857,1.79,200.2
26,OK,LogisticRegression,,,,1.89319,none,0.59,0.993182,0.995444,1.0,0.997717,2.38,196.6
27,OK,GradientBoosting,284,6,0.0868,,,0.01,0.990888,0.997717,1.0,0.998857,2.12,199.0
28,OK,LogisticRegression,,,,5.30817,none,0.44,0.993182,0.995444,1.0,0.997717,2.62,195.8
29,OK,GradientBoosting,349,15,0.2704,,,0.01,0.994299,0.997717,1.0,0.998857,2.29,196.4
30,OK,RandomForest,235,9,,,balanced,0.44,0.995444,0.997717,1.0,0.998857,2.04,194.7
31,OK,GradientBoosting,302,4,0.2292,,,0.01,0.995444,0.997717,1.0,0.998857,2.1,197.8
32,OK,LogisticRegression,,,,0.00581,balanced,0.49,0.993166,0.997717,1.0,0.998857,1.85,196.8
33,OK,GradientBoosting,266,4,0.1216,,,0.01,0.995444,0.997717,1.0,0.998857,2.06,197.3
34,OK,GradientBoosting,289,18,0.0829,,,0.01,0.994299,0.997717,1.0,0.998857,2.2,197.0
35,OK,GradientBoosting,490,2,0.2073,,,0.04,0.995444,0.997717,1.0,0.998857,2.12,197.1
36,OK,LogisticRegression,,,,2.56184,none,0.55,0.993182,0.995444,1.0,0.997717,2.5,197.9
37,OK,GradientBoosting,224,5,0.0951,,,0.01,0.995444,0.995444,1.0,0.997717,2.1,197.6
38,OK,LogisticRegression,,,,0.18562,none,0.85,0.993166,0.997717,1.0,0.998857,2.13,196.4
39,OK,GradientBoosting,440,7,0.1572,,,0.01,0.994299,0.997717,1.0,0.998857,2.39,197.7
40,OK,LogisticRegression,,,,22.52127,none,0.3,0.993182,0.993182,1.0,0.996579,2.7,197.7
41,OK,GradientBoosting,309,8,0.0543,,,0.01,0.994299,0.997717,1.0,0.998857,2.13,197.4
42,OK,LogisticRegression,,,,0.49762,balanced,0.19,0.993166,0.997717,1.0,0.998857,2.39,198.1
43,OK,GradientBoosting,215,17,0.0156,,,0.15,0.993151,0.997717,1.0,0.998857,2.0,199.1
44,OK,RandomForest,499,11,,,balanced,0.36,0.994312,0.997717,1.0,0.998857,2.47,198.9
45,OK,LogisticRegression,,,,0.01601,balanced,0.46,0.993166,0.997717,1.0,0.998857,1.91,199.8
46,OK,LogisticRegression,,,,4.56602,balanced,0.02,0.993182,0.99093,1.0,0.995444,2.59,197.4
47,OK,GradientBoosting,442,6,0.0472,,,0.01,0.990888,0.997717,1.0,0.998857,2.41,196.9
48,OK,RandomForest,331,7,,,none,0.74,0.996579,0.997712,0.997712,0.997712,2.22,199.3
49,OK,GradientBoosting,496,15,0.2897,,,0.01,0.995444,0.997717,1.0,0.998857,2.56,198.1
50,OK,GradientBoosting,436,8,0.2168,,,0.01,0.994299,0.997717,1.0,0.998857,2.43,196.3
