config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.9,0.786967,0.709091,0.80829,0.755448,17.87,317.2
2,OK,LogisticRegression,,,,0.01306,balanced,0.88,0.727763,0.710227,0.647668,0.677507,17.16,316.3
3,OK,GradientBoosting,429,19,0.0352,,,0.98,0.723647,0.75,0.668394,0.706849,44.22,317.6
4,OK,RandomForest,66,2,,,balanced,0.88,0.630807,0.566502,0.595855,0.580808,15.48,313.5
5,OK,LogisticRegression,,,,0.01456,balanced,0.88,0.730159,0.706215,0.647668,0.675676,18.13,316.5
6,OK,GradientBoosting,151,19,0.1317,,,0.72,0.738292,0.727273,0.663212,0.693767,25.83,316.2
7,OK,RandomForest,351,10,,,balanced,0.58,0.760766,0.675799,0.766839,0.718447,17.41,316.4
8,OK,LogisticRegression,,,,3.09526,none,0.27,0.771845,0.705882,0.80829,0.753623,24.49,317.6
9,OK,RandomForest,129,8,,,none,0.44,0.804408,0.810345,0.73057,0.768392,16.27,314.3
10,OK,LogisticRegression,,,,0.00291,balanced,0.77,0.716883,0.693122,0.678756,0.685864,18.35,316.5
11,OK,RandomForest,483,13,,,none,0.43,0.811989,0.787234,0.766839,0.776903,19.11,316.1
12,OK,LogisticRegression,,,,4.45306,balanced,0.94,0.761671,0.713592,0.761658,0.736842,23.37,319.2
13,OK,RandomForest,90,19,,,none,0.53,0.812325,0.807229,0.694301,0.746518,16.11,317.2
14,OK,GradientBoosting,366,13,0.1774,,,0.02,0.805195,0.780105,0.772021,0.776042,56.01,316.0
15,OK,GradientBoosting,85,3,0.2018,,,0.9,0.793814,0.73301,0.782383,0.756892,18.23,315.2
16,OK,RandomForest,90,9,,,balanced,0.67,0.756098,0.674419,0.751295,0.710784,15.85,316.4
17,OK,RandomForest,192,16,,,none,0.44,0.815217,0.782609,0.746114,0.763926,16.82,316.7
18,OK,LogisticRegression,,,,0.07094,balanced,0.92,0.728205,0.706806,0.699482,0.703125,18.8,316.0
19,OK,GradientBoosting,186,4,0.1866,,,0.72,0.784615,0.726829,0.772021,0.748744,24.09,315.1
20,OK,LogisticRegression,,,,0.46849,balanced,0.92,0.742015,0.685446,0.756477,0.719212,25.68,314.8
21,OK,LogisticRegression,,,,0.20479,none,0.35,0.75,0.730337,0.673575,0.700809,18.4,316.5
22,OK,GradientBoosting,402,19,0.0737,,,0.98,0.735955,0.754386,0.668394,0.708791,51.89,317.2
23,OK,RandomForest,481,3,,,balanced,0.92,0.670103,0.645161,0.621762,0.633245,17.21,315.4
24,OK,LogisticRegression,,,,10.59812,none,0.57,0.782353,0.865772,0.668394,0.754386,24.67,316.9
25,OK,RandomForest,83,8,,,none,0.46,0.802228,0.803571,0.699482,0.747922,15.97,317.0
26,OK,LogisticRegression,,,,1.89319,none,0.27,0.760291,0.704545,0.803109,0.750605,23.44,315.7
27,OK,GradientBoosting,284,6,0.0868,,,0.8,0.797872,0.753927,0.746114,0.75,34.68,315.3
28,OK,LogisticRegression,,,,5.30817,none,0.32,0.776942,0.7343,0.787565,0.76,18.55,315.1
29,OK,GradientBoosting,349,15,0.2704,,,0.16,0.80109,0.79661,0.73057,0.762162,54.62,313.8
30,OK,RandomForest,235,9,,,balanced,0.63,0.766667,0.662222,0.772021,0.712919,16.69,316.8
31,OK,GradientBoosting,302,4,0.2292,,,0.63,0.80102,0.730392,0.772021,0.75063,29.72,318.1
32,OK,LogisticRegression,,,,0.00581,balanced,0.82,0.723958,0.700535,0.678756,0.689474,17.3,318.9
33,OK,GradientBoosting,266,4,0.1216,,,0.82,0.770053,0.736041,0.751295,0.74359,28.14,317.6
