config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.99,0.514768,0.335135,0.973822,0.49866,42.28,480.1
2,OK,LogisticRegression,,,,0.01306,balanced,0.99,0.569288,0.962963,0.408377,0.573529,36.69,456.9
3,OK,GradientBoosting,429,19,0.0352,,,0.99,0.513324,0.333935,0.968586,0.496644,57.78,454.1
4,OK,RandomForest,66,2,,,balanced,0.93,0.572491,0.939759,0.408377,0.569343,37.84,481.7
5,OK,LogisticRegression,,,,0.01456,balanced,0.99,0.569288,0.962963,0.408377,0.573529,36.59,478.6
6,OK,GradientBoosting,151,19,0.1317,,,0.99,0.513324,0.334532,0.973822,0.497992,42.6,478.5
7,OK,RandomForest,351,10,,,balanced,0.15,0.516393,0.331579,0.989529,0.496715,41.98,452.3
8,OK,LogisticRegression,,,,3.09526,none,0.46,0.614286,0.954545,0.439791,0.602151,38.05,461.4
9,OK,RandomForest,129,8,,,none,0.53,0.623656,0.944444,0.445026,0.604982,44.58,486.1
10,OK,LogisticRegression,,,,0.00291,balanced,0.98,0.569288,0.962963,0.408377,0.573529,36.23,473.7
11,OK,RandomForest,483,13,,,none,0.53,0.623656,0.965909,0.445026,0.609319,46.31,480.6
12,OK,LogisticRegression,,,,4.45306,balanced,0.99,0.510402,0.327957,0.958115,0.488652,38.54,475.8
13,OK,RandomForest,90,19,,,none,0.5,0.623656,0.944444,0.445026,0.604982,37.55,483.4
14,OK,GradientBoosting,366,13,0.1774,,,1.0,0.541985,0.986486,0.382199,0.550943,82.1,457.6
15,OK,GradientBoosting,85,3,0.2018,,,0.99,0.514768,0.333333,0.968586,0.495979,41.68,453.1
16,OK,RandomForest,90,9,,,balanced,0.71,0.516949,0.337568,0.973822,0.501348,37.36,454.4
17,OK,RandomForest,192,16,,,none,0.56,0.623656,0.965909,0.445026,0.609319,40.14,475.3
18,OK,LogisticRegression,,,,0.07094,balanced,0.99,0.514851,0.334552,0.958115,0.495935,36.76,477.9
19,OK,GradientBoosting,186,4,0.1866,,,0.99,0.510578,0.335135,0.973822,0.49866,52.49,470.6
20,OK,LogisticRegression,,,,0.46849,balanced,0.99,0.51831,0.332727,0.958115,0.493927,37.34,471.9
21,OK,LogisticRegression,,,,0.20479,none,0.26,0.608392,0.823529,0.439791,0.573379,37.39,489.5
22,OK,GradientBoosting,402,19,0.0737,,,0.99,0.513324,0.334532,0.973822,0.497992,68.39,483.9
