config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.73,0.927711,0.952153,0.952153,0.952153,7.25,287.7
2,OK,LogisticRegression,,,,0.01306,balanced,0.73,0.916067,0.950495,0.91866,0.934307,6.69,287.3
3,OK,GradientBoosting,429,19,0.0352,,,0.51,0.912409,0.960298,0.925837,0.942753,17.43,285.2
4,OK,RandomForest,66,2,,,balanced,0.83,0.923261,0.953086,0.923445,0.938032,6.5,282.7
5,OK,LogisticRegression,,,,0.01456,balanced,0.74,0.915865,0.955,0.913876,0.933985,6.65,280.6
6,OK,GradientBoosting,151,19,0.1317,,,0.84,0.91352,0.9625,0.921053,0.94132,9.73,281.3
7,OK,RandomForest,351,10,,,balanced,0.34,0.932704,0.934579,0.956938,0.945626,7.32,280.3
8,OK,LogisticRegression,,,,3.09526,none,0.59,0.927961,0.972222,0.921053,0.945946,7.1,288.1
9,OK,RandomForest,129,8,,,none,0.3,0.931925,0.937063,0.961722,0.949233,6.62,291.2
10,OK,LogisticRegression,,,,0.00291,balanced,0.66,0.910628,0.954198,0.897129,0.924784,6.48,283.9
11,OK,RandomForest,483,13,,,none,0.61,0.933998,0.977215,0.923445,0.949569,7.84,291.5
12,OK,LogisticRegression,,,,4.45306,balanced,0.86,0.92439,0.9675,0.925837,0.94621,7.41,278.5
13,OK,RandomForest,90,19,,,none,0.23,0.933489,0.922727,0.971292,0.946387,6.73,281.6
14,OK,GradientBoosting,366,13,0.1774,,,0.28,0.905983,0.958231,0.933014,0.945455,11.39,285.4
15,OK,GradientBoosting,85,3,0.2018,,,0.84,0.922318,0.965432,0.935407,0.950182,7.38,278.9
16,OK,RandomForest,90,9,,,balanced,0.34,0.932243,0.937063,0.961722,0.949233,6.4,285.2
17,OK,RandomForest,192,16,,,none,0.62,0.933998,0.977215,0.923445,0.949569,6.84,286.2
