config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.96,0.651007,0.669014,0.620915,0.644068,21.71,384.6
2,OK,LogisticRegression,,,,0.01306,balanced,0.9,0.547855,0.48125,0.503268,0.492013,27.14,389.8
3,OK,GradientBoosting,429,19,0.0352,,,0.13,0.610932,0.635135,0.614379,0.624585,96.91,414.5
4,OK,RandomForest,66,2,,,balanced,0.84,0.569492,0.561151,0.509804,0.534247,16.84,383.5
5,OK,LogisticRegression,,,,0.01456,balanced,0.9,0.551282,0.481707,0.51634,0.498423,28.23,415.6
6,OK,GradientBoosting,151,19,0.1317,,,0.01,0.56051,0.602564,0.614379,0.608414,39.85,418.1
7,OK,RandomForest,351,10,,,balanced,0.68,0.647436,0.614379,0.614379,0.614379,20.03,416.3
8,OK,LogisticRegression,,,,3.09526,none,0.26,0.613569,0.52459,0.627451,0.571429,31.24,419.0
9,OK,RandomForest,129,8,,,none,0.39,0.708772,0.779412,0.69281,0.733564,17.92,419.0
10,OK,LogisticRegression,,,,0.00291,balanced,0.81,0.550296,0.473054,0.51634,0.49375,22.32,391.4
11,OK,RandomForest,483,13,,,none,0.42,0.70922,0.768657,0.673203,0.71777,23.03,396.6
12,OK,LogisticRegression,,,,4.45306,balanced,0.96,0.608187,0.524862,0.620915,0.568862,33.72,418.5
13,OK,RandomForest,90,19,,,none,0.46,0.707581,0.778626,0.666667,0.71831,17.61,380.4
14,OK,GradientBoosting,366,13,0.1774,,,0.03,0.707483,0.702128,0.647059,0.673469,69.82,396.6
15,OK,GradientBoosting,85,3,0.2018,,,0.91,0.641975,0.613095,0.673203,0.641745,22.65,387.3
16,OK,RandomForest,90,9,,,balanced,0.77,0.630508,0.679104,0.594771,0.634146,17.15,383.4
17,OK,RandomForest,192,16,,,none,0.42,0.707143,0.764706,0.679739,0.719723,20.03,418.8
18,OK,LogisticRegression,,,,0.07094,balanced,0.92,0.582857,0.487437,0.633987,0.551136,28.62,415.9
19,OK,GradientBoosting,186,4,0.1866,,,0.92,0.652778,0.732283,0.607843,0.664286,33.96,398.7
20,OK,LogisticRegression,,,,0.46849,balanced,0.95,0.600583,0.516129,0.627451,0.566372,44.03,384.1
21,OK,LogisticRegression,,,,0.20479,none,0.23,0.576577,0.494624,0.601307,0.542773,25.11,403.8
22,OK,GradientBoosting,402,19,0.0737,,,0.12,0.587838,0.671642,0.588235,0.627178,59.82,412.4
23,OK,RandomForest,481,3,,,balanced,0.88,0.574545,0.614754,0.490196,0.545455,19.52,419.8
24,OK,LogisticRegression,,,,10.59812,none,0.21,0.619946,0.509434,0.705882,0.591781,33.24,413.7
25,OK,RandomForest,83,8,,,none,0.42,0.709677,0.801587,0.660131,0.724014,17.29,403.5
26,OK,LogisticRegression,,,,1.89319,none,0.25,0.615836,0.507853,0.633987,0.563953,34.22,390.6
27,OK,GradientBoosting,284,6,0.0868,,,0.77,0.673611,0.688406,0.620915,0.652921,55.73,385.5
28,OK,LogisticRegression,,,,5.30817,none,0.26,0.618076,0.521505,0.633987,0.572271,35.67,386.3
29,OK,GradientBoosting,349,15,0.2704,,,0.18,0.713287,0.733871,0.594771,0.65704,41.67,397.9
30,OK,RandomForest,235,9,,,balanced,0.68,0.623145,0.571429,0.679739,0.620896,18.5,384.3
31,OK,GradientBoosting,302,4,0.2292,,,0.55,0.626959,0.65625,0.686275,0.670927,45.05,414.5
32,OK,LogisticRegression,,,,0.00581,balanced,0.86,0.555556,0.478261,0.503268,0.490446,22.99,420.7
