config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
39,OK,GradientBoosting,440,7,0.1572,,,0.11,0.899587,0.88172,0.926554,0.903581,45.68,347.9
40,OK,LogisticRegression,,,,22.52127,none,0.39,0.898072,0.877984,0.935028,0.905609,19.65,337.9
41,OK,GradientBoosting,309,8,0.0543,,,0.97,0.898072,0.883469,0.920904,0.901798,40.2,353.6
42,OK,LogisticRegression,,,,0.49762,balanced,0.95,0.897436,0.827751,0.977401,0.896373,19.15,356.4
43,OK,GradientBoosting,215,17,0.0156,,,0.96,0.890411,0.871585,0.90113,0.886111,33.98,346.8
44,OK,RandomForest,499,11,,,balanced,0.28,0.932271,0.881612,0.988701,0.932091,23.45,342.2
45,OK,LogisticRegression,,,,0.01601,balanced,0.98,0.876712,0.868633,0.915254,0.891334,18.38,348.9
46,OK,LogisticRegression,,,,4.56602,balanced,0.95,0.896552,0.816471,0.980226,0.890886,19.22,345.9
47,OK,GradientBoosting,442,6,0.0472,,,0.96,0.899032,0.886486,0.926554,0.906077,43.1,353.8
48,OK,RandomForest,331,7,,,none,0.18,0.932271,0.882206,0.99435,0.934927,22.78,342.7
49,OK,GradientBoosting,496,15,0.2897,,,0.81,0.89931,0.886179,0.923729,0.904564,46.83,347.0
50,OK,GradientBoosting,436,8,0.2168,,,0.63,0.900826,0.886486,0.926554,0.906077,47.31,347.4
