config_id,status,matcher,n_estimators,max_depth,learning_rate,C,class_weight,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,GradientBoosting,107,2,0.225,,,0.98,0.921833,0.893333,0.946328,0.919067,20.42,339.7
2,OK,LogisticRegression,,,,0.01306,balanced,0.98,0.877915,0.872973,0.912429,0.892265,18.76,337.7
3,OK,GradientBoosting,429,19,0.0352,,,0.9,0.896552,0.885246,0.915254,0.9,47.21,351.6
4,OK,RandomForest,66,2,,,balanced,0.97,0.895317,0.867209,0.903955,0.885201,18.65,337.8
5,OK,LogisticRegression,,,,0.01456,balanced,0.98,0.877915,0.868633,0.915254,0.891334,18.74,352.4
6,OK,GradientBoosting,151,19,0.1317,,,0.93,0.895317,0.883152,0.918079,0.900277,27.61,344.5
7,OK,RandomForest,351,10,,,balanced,0.32,0.932271,0.881612,0.988701,0.932091,22.2,352.6
8,OK,LogisticRegression,,,,3.09526,none,0.44,0.898072,0.877984,0.935028,0.905609,19.01,345.5
9,OK,RandomForest,129,8,,,none,0.19,0.932271,0.881013,0.983051,0.929239,19.21,352.1
10,OK,LogisticRegression,,,,0.00291,balanced,0.94,0.878378,0.851562,0.923729,0.886179,18.33,337.5
11,OK,RandomForest,483,13,,,none,0.2,0.933687,0.875622,0.99435,0.931217,24.18,338.2
12,OK,LogisticRegression,,,,4.45306,balanced,0.95,0.896552,0.816471,0.980226,0.890886,19.52,342.3
13,OK,RandomForest,90,19,,,none,0.33,0.933511,0.884615,0.974576,0.927419,18.9,349.4
14,OK,GradientBoosting,366,13,0.1774,,,0.99,0.898072,0.887363,0.912429,0.899721,48.55,344.9
15,OK,GradientBoosting,85,3,0.2018,,,0.85,0.895978,0.87037,0.929379,0.898907,20.33,336.4
16,OK,RandomForest,90,9,,,balanced,0.36,0.927345,0.874372,0.983051,0.925532,18.61,345.3
17,OK,RandomForest,192,16,,,none,0.18,0.93245,0.8725,0.985876,0.925729,20.29,338.1
18,OK,LogisticRegression,,,,0.07094,balanced,0.99,0.884882,0.880886,0.898305,0.88951,18.78,339.6
19,OK,GradientBoosting,186,4,0.1866,,,0.67,0.902069,0.882353,0.932203,0.906593,25.25,341.1
20,OK,LogisticRegression,,,,0.46849,balanced,0.95,0.897436,0.827751,0.977401,0.896373,19.46,343.2
21,OK,LogisticRegression,,,,0.20479,none,0.54,0.896552,0.881402,0.923729,0.902069,18.71,338.5
22,OK,GradientBoosting,402,19,0.0737,,,0.98,0.896836,0.88587,0.920904,0.903047,51.99,343.6
23,OK,RandomForest,481,3,,,balanced,0.79,0.894942,0.837838,0.963277,0.896189,21.7,349.8
24,OK,LogisticRegression,,,,10.59812,none,0.41,0.898072,0.877984,0.935028,0.905609,20.41,352.9
25,OK,RandomForest,83,8,,,none,0.15,0.93245,0.869136,0.99435,0.927536,18.6,337.7
26,OK,LogisticRegression,,,,1.89319,none,0.45,0.898072,0.877984,0.935028,0.905609,19.41,358.4
27,OK,GradientBoosting,284,6,0.0868,,,0.73,0.898072,0.879679,0.929379,0.903846,33.87,342.0
28,OK,LogisticRegression,,,,5.30817,none,0.43,0.898072,0.877984,0.935028,0.905609,19.93,340.1
29,OK,GradientBoosting,349,15,0.2704,,,0.87,0.902069,0.888587,0.923729,0.905817,57.58,344.6
30,OK,RandomForest,235,9,,,balanced,0.48,0.924933,0.884319,0.971751,0.925976,21.16,349.6
31,OK,GradientBoosting,302,4,0.2292,,,0.44,0.896266,0.885942,0.943503,0.913817,29.99,340.1
32,OK,LogisticRegression,,,,0.00581,balanced,0.97,0.877915,0.864,0.915254,0.888889,18.31,338.9
33,OK,GradientBoosting,266,4,0.1216,,,0.71,0.902069,0.881266,0.943503,0.911323,28.8,340.6
34,OK,GradientBoosting,289,18,0.0829,,,0.01,0.89589,0.867725,0.926554,0.896175,39.16,352.4
35,OK,GradientBoosting,490,2,0.2073,,,0.85,0.899032,0.885638,0.940678,0.912329,28.78,346.2
36,OK,LogisticRegression,,,,2.56184,none,0.45,0.898072,0.877984,0.935028,0.905609,19.61,343.1
37,OK,GradientBoosting,224,5,0.0951,,,0.75,0.897507,0.882038,0.929379,0.905089,28.81,350.5
38,OK,LogisticRegression,,,,0.18562,none,0.55,0.896552,0.881402,0.923729,0.902069,18.61,340.7
